# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97997    0.03374643   -0.00049452    0.13577518        979871    0.03368659   -0.00038537    0.13584107
          20         97898    0.03383646    0.00003808    0.13569575       1959544    0.03367895   -0.00027512    0.13573872
          30         98021    0.03391975   -0.00120391    0.13736011       2939310    0.03367533   -0.00019904    0.13577952
          40         97994    0.03374622   -0.00020846    0.13673669       3919260    0.03367254   -0.00011177    0.13588666
          50         98042    0.03373481    0.00036550    0.13503357       4899190    0.03367116   -0.00001603    0.13582485
          60         98076    0.03369254    0.00087695    0.13515046       5879057    0.03367002   -0.00000570    0.13580768
          70         98052    0.03321181   -0.00055355    0.13444653       6858886    0.03368504   -0.00000688    0.13582977
          80         98063    0.03387431    0.00004960    0.13663400       7838890    0.03367256    0.00001047    0.13583380
          90         97871    0.03348743    0.00048078    0.13513500       8818622    0.03367846    0.00007899    0.13583218
         100         98070    0.03376823    0.00033794    0.13573161       9798487    0.03369052    0.00009262    0.13581862
