# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97920    0.03958887   -0.00041443   -0.16252092        979999    0.03990495    0.00005576   -0.16405127
          20         97974    0.03996516    0.00006190   -0.16418287       1959975    0.03991719    0.00013523   -0.16415964
          30         97902    0.04007756   -0.00022299   -0.16423967       2939875    0.04000687    0.00005781   -0.16436792
          40         97884    0.04027163    0.00058942   -0.16619676       3919702    0.04003667   -0.00005982   -0.16453874
          50         98024    0.03989840    0.00169232   -0.16494921       4899611    0.04000208   -0.00010600   -0.16443503
          60         97987    0.03969835   -0.00028748   -0.16359379       5879377    0.03998673   -0.00010037   -0.16445304
          70         97941    0.03976998   -0.00036865   -0.16309929       6859159    0.03999480   -0.00008642   -0.16450519
          80         97971    0.03984074    0.00051321   -0.16528740       7838831    0.04000088   -0.00005425   -0.16452498
          90         97897    0.04002944   -0.00155411   -0.16394304       8818712    0.03998543   -0.00002631   -0.16447650
         100         97979    0.03978566    0.00060026   -0.16521020       9798136    0.03998496   -0.00006842   -0.16446543
