# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97998    0.02304292    0.00005350    0.06578457        979858    0.02320254   -0.00019840    0.06619276
          20         97984    0.02296499   -0.00052065    0.06705596       1959844    0.02315816   -0.00008141    0.06629420
          30         98015    0.02310756    0.00087531    0.06774697       2939769    0.02311056   -0.00015172    0.06621007
          40         98035    0.02321715    0.00053559    0.06632603       3919749    0.02314087   -0.00010082    0.06629644
          50         97900    0.02350454   -0.00032297    0.06636148       4899654    0.02315995   -0.00014490    0.06633227
          60         97994    0.02310109   -0.00035116    0.06549714       5879461    0.02314761   -0.00010669    0.06627579
          70         97992    0.02259321   -0.00108429    0.06644301       6859468    0.02313357   -0.00013229    0.06634506
          80         97995    0.02360484   -0.00027938    0.06618733       7839366    0.02315468   -0.00015621    0.06635069
          90         97971    0.02318428   -0.00038300    0.06646126       8819148    0.02314984   -0.00012189    0.06631915
         100         98113    0.02355132    0.00037774    0.06682445       9799134    0.02315480   -0.00008789    0.06627831
