# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         79749    0.05698983    0.00088881    0.22481872        795556    0.05628632    0.00019058    0.22372519
          20         79645    0.05731975    0.00180409    0.22735317       1591476    0.05635069    0.00037322    0.22359756
          30         79714    0.05666125   -0.00049521    0.22431459       2386772    0.05634353    0.00030184    0.22365399
          40         79422    0.05514141   -0.00064503    0.22047576       3182571    0.05632478    0.00022677    0.22362388
          50         79562    0.05638778   -0.00022982    0.22461145       3978217    0.05630489    0.00015155    0.22361163
          60         79839    0.05659457    0.00229463    0.22371701       4773697    0.05629548    0.00012755    0.22358772
          70         79596    0.05592008   -0.00001926    0.22411346       5569482    0.05627476    0.00007108    0.22349459
          80         79808    0.05588218   -0.00119945    0.22214806       6365595    0.05625260    0.00003167    0.22350454
          90         79728    0.05624695    0.00114808    0.22353055       7162213    0.05625030    0.00005772    0.22351891
         100         79685    0.05540204   -0.00046651    0.22042478       7958212    0.05622469    0.00003344    0.22345362
