# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97930    0.02195081   -0.00056124   -0.05205952        979806    0.02192903    0.00008767   -0.05274095
          20         98028    0.02203056    0.00025065   -0.05230611       1959780    0.02195577    0.00014865   -0.05272589
          30         97990    0.02180778    0.00052896   -0.05382400       2939874    0.02193260    0.00007260   -0.05278227
          40         98019    0.02238224   -0.00060604   -0.05371817       3919547    0.02195545    0.00010573   -0.05277763
          50         97945    0.02197898   -0.00019999   -0.05281646       4899433    0.02196080    0.00010924   -0.05278378
          60         97959    0.02168727   -0.00057767   -0.05191434       5879395    0.02193703    0.00006094   -0.05281534
          70         97942    0.02214918   -0.00007616   -0.05233996       6859121    0.02194175    0.00008264   -0.05280421
          80         97961    0.02161639    0.00017811   -0.05227667       7838755    0.02194154    0.00006945   -0.05282710
          90         97964    0.02232074   -0.00018439   -0.05273418       8818667    0.02194494    0.00002903   -0.05283864
         100         98019    0.02137684    0.00140958   -0.05249709       9798687    0.02193382    0.00002970   -0.05283047
