# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97977    0.02382869   -0.00045710    0.06693526        979969    0.02326803    0.00000525    0.06601874
          20         97910    0.02313233    0.00022507    0.06595837       1959648    0.02312473   -0.00008154    0.06608835
          30         97964    0.02297089   -0.00020309    0.06538628       2939428    0.02308438   -0.00008799    0.06612322
          40         98055    0.02308548    0.00015977    0.06547421       3919438    0.02311012   -0.00001446    0.06617490
          50         98058    0.02279001    0.00019847    0.06535386       4899420    0.02311242   -0.00000987    0.06621634
          60         97969    0.02354652   -0.00001447    0.06587144       5879393    0.02313421   -0.00001879    0.06616773
          70         98003    0.02311596   -0.00047244    0.06526086       6859371    0.02313672   -0.00004453    0.06620392
          80         97853    0.02308991    0.00011383    0.06631907       7839115    0.02313746   -0.00000314    0.06618621
          90         97869    0.02332425   -0.00016349    0.06585917       8818843    0.02315617    0.00000536    0.06623182
         100         98020    0.02332624    0.00015485    0.06722077       9798544    0.02315542    0.00001307    0.06627811
