# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97987    0.01981100   -0.00012374   -0.01248565        979672    0.01977537    0.00014275   -0.01284791
          20         98019    0.01941519   -0.00077563   -0.01301636       1959374    0.01974238    0.00015008   -0.01287497
          30         97927    0.01995338    0.00042202   -0.01296355       2939175    0.01976895    0.00009692   -0.01292025
          40         97991    0.02019223   -0.00023696   -0.01312020       3919076    0.01976125    0.00014420   -0.01298677
          50         97960    0.02009271    0.00039488   -0.01303099       4898844    0.01979062    0.00011187   -0.01295298
          60         98013    0.02016325   -0.00038636   -0.01289389       5878642    0.01981348    0.00010760   -0.01294976
          70         97981    0.01990165    0.00114008   -0.01244554       6858497    0.01981480    0.00009565   -0.01293107
          80         98008    0.01968122   -0.00074729   -0.01298256       7838367    0.01981752    0.00009390   -0.01292129
          90         97955    0.02001717    0.00041143   -0.01367163       8818442    0.01981538    0.00010281   -0.01291467
         100         97954    0.01973319    0.00027548   -0.01184023       9798256    0.01981632    0.00011167   -0.01289835
