# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97962    0.03648803    0.00025806   -0.15092850        979995    0.03659491    0.00035507   -0.15026353
          20         98001    0.03656606    0.00036887   -0.15019108       1959584    0.03662953    0.00000974   -0.15015495
          30         97964    0.03728413    0.00046423   -0.15113798       2939298    0.03663613    0.00010729   -0.15024447
          40         97957    0.03669808    0.00022439   -0.15122961       3918957    0.03663714    0.00005287   -0.15027001
          50         98060    0.03641477   -0.00068942   -0.14944663       4899008    0.03663626   -0.00006236   -0.15019568
          60         98005    0.03687666    0.00085070   -0.15014098       5878967    0.03665331    0.00000682   -0.15020042
          70         98036    0.03645711    0.00121467   -0.15053810       6858844    0.03666605    0.00003873   -0.15024915
          80         97967    0.03699703    0.00328679   -0.14936830       7838708    0.03667983    0.00004252   -0.15021932
          90         97999    0.03725318   -0.00068956   -0.15111473       8818717    0.03669711    0.00001810   -0.15019463
         100         97988    0.03727627   -0.00029903   -0.15131478       9798524    0.03669906    0.00000546   -0.15022093
