# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98031    0.02339720   -0.00024151    0.06605402        980011    0.02329898    0.00025173    0.06656251
          20         97951    0.02323600    0.00048808    0.06708662       1960011    0.02313633    0.00018541    0.06648357
          30         97973    0.02285057    0.00006107    0.06571752       2939667    0.02311088    0.00014719    0.06636502
          40         97885    0.02292889    0.00052944    0.06505266       3919547    0.02308394    0.00014294    0.06628901
          50         97982    0.02281920    0.00072476    0.06663615       4899387    0.02310440    0.00012594    0.06625218
          60         97973    0.02336634   -0.00002274    0.06645955       5879156    0.02310906    0.00012543    0.06627349
          70         97999    0.02265001   -0.00030033    0.06590919       6858990    0.02309724    0.00010781    0.06624064
          80         97911    0.02299688    0.00058771    0.06650353       7838674    0.02309440    0.00008612    0.06625074
          90         98034    0.02294645    0.00032603    0.06579198       8818573    0.02310256    0.00008492    0.06625801
         100         98086    0.02310022    0.00036793    0.06604051       9798578    0.02309729    0.00007795    0.06625647
