# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97998    0.02085133   -0.00084042    0.03913420        979789    0.02096871    0.00006759    0.03906723
          20         97972    0.02065945   -0.00001460    0.03935373       1959578    0.02093285    0.00001959    0.03918428
          30         97939    0.02111618    0.00088616    0.03930758       2939320    0.02096636    0.00007144    0.03930407
          40         98044    0.02118369   -0.00040158    0.04000059       3919292    0.02096294    0.00006912    0.03933513
          50         97960    0.02143121    0.00044059    0.03899141       4899287    0.02097002    0.00002980    0.03935451
          60         97953    0.02094609    0.00082865    0.03977308       5879072    0.02095210    0.00004050    0.03929996
          70         97972    0.02080488    0.00059472    0.03885719       6858869    0.02092936    0.00001457    0.03927190
          80         97990    0.02069680   -0.00054288    0.03952204       7838978    0.02091498    0.00004353    0.03929254
          90         97997    0.02127629    0.00000145    0.04004351       8818572    0.02091957    0.00002759    0.03928253
         100         97963    0.02106721   -0.00030787    0.03901275       9798624    0.02093409    0.00002638    0.03927448
