  0.743812E+00 -0.629686E-01 -0.265751E-01  0.299842E+00  0.116097E+00  0.275088E+00 -0.274360E-01
  0.113237E+00 -0.885839E-04 -0.104047E-01  0.198311E+01  0.197472E+01  0.168125E-01 -0.181458E+00
  0.700433E+00 -0.438037E-02 -0.642115E-01  0.197407E+01  0.196123E+01  0.133791E+00 -0.180630E+00
  0.132471E+01  0.112014E+00 -0.476401E-01  0.303789E+00  0.118398E+00 -0.278383E+00 -0.277972E-01
  0.618462E+00  0.387576E-02 -0.566964E-01  0.197403E+01  0.196117E+01 -0.134066E+00 -0.180627E+00
  0.193676E+01  0.169085E+00 -0.555083E-01  0.192946E+00  0.599292E-01 -0.182551E+00 -0.176549E-01
  0.322939E+00 -0.221239E-01 -0.197755E-01  0.880819E+00  0.584541E+00  0.653956E+00 -0.805963E-01
  0.200422E+01 -0.181665E+00 -0.302219E-01  0.534100E-01  0.872809E-02  0.524649E-01 -0.488710E-02
  0.251177E+00  0.221043E-01 -0.663964E-02  0.164134E+00  0.470199E-01 -0.156536E+00 -0.150185E-01
  0.112367E+01 -0.326436E-01 -0.979548E-01  0.178502E+01  0.168635E+01  0.561980E+00 -0.163332E+00
  0.197633E+01 -0.404736E-02 -0.181555E+00  0.198227E+01  0.197346E+01  0.439940E-01 -0.181381E+00
  0.986023E+00  0.119617E-01 -0.898097E-01  0.194869E+01  0.192353E+01 -0.256194E+00 -0.178308E+00
  0.502379E+00  0.170516E-01 -0.428974E-01  0.171265E+01  0.158485E+01 -0.629974E+00 -0.156710E+00
  0.126696E+01  0.112121E+00 -0.313346E-01  0.143679E+00  0.385100E-01 -0.137796E+00 -0.131468E-01
  0.103482E+01  0.573796E-01 -0.758224E-01  0.126106E+01  0.100135E+01 -0.757788E+00 -0.115389E+00
  0.171869E+01 -0.882874E-01 -0.130942E+00  0.136343E+01  0.112573E+01  0.759019E+00 -0.124756E+00
  0.257984E+01 -0.123328E+00 -0.202446E+00  0.144646E+01  0.123011E+01  0.749370E+00 -0.132353E+00
  0.830374E+00  0.682077E-02 -0.759951E-01  0.196741E+01  0.195131E+01 -0.175135E+00 -0.180021E+00
  0.819334E+00 -0.705675E-01 -0.262344E-01  0.240818E+00  0.835640E-01  0.224778E+00 -0.220353E-01
  0.143798E+01  0.365737E-01 -0.126969E+00  0.183130E+01  0.175237E+01 -0.504774E+00 -0.167567E+00
  0.118882E+01 -0.502048E-02 -0.109122E+00  0.197907E+01  0.196868E+01  0.905754E-01 -0.181088E+00
  0.324663E-02 -0.626664E-04 -0.291667E-03  0.189574E+01  0.184567E+01  0.396553E+00 -0.173463E+00
  0.259496E+01 -0.984266E-01 -0.217181E+00  0.164532E+01  0.149231E+01  0.676320E+00 -0.150549E+00
  0.201342E+01 -0.365410E-01 -0.181363E+00  0.190589E+01  0.186050E+01  0.374855E+00 -0.174392E+00
  0.953213E+00  0.582732E-01 -0.653903E-01  0.110539E+01  0.821786E+00 -0.732343E+00 -0.101145E+00
  0.111884E+01 -0.427153E-01 -0.935131E-01  0.164088E+01  0.148628E+01  0.678909E+00 -0.150143E+00
  0.253503E+01 -0.173182E+00 -0.155780E+00  0.887004E+00  0.590709E+00  0.656698E+00 -0.811623E-01
  0.108479E+00  0.456521E-02 -0.886097E-02  0.156725E+01  0.138737E+01 -0.714780E+00 -0.143406E+00
  0.212193E+01 -0.138478E+00 -0.137259E+00  0.982858E+00  0.689003E+00  0.695123E+00 -0.899331E-01
  0.524207E+00 -0.356884E-03 -0.481665E-01  0.198315E+01  0.197477E+01  0.146318E-01 -0.181461E+00
  0.726367E+00 -0.622486E-01 -0.240799E-01  0.258147E+00  0.927438E-01  0.239751E+00 -0.236208E-01
  0.148961E+00 -0.117886E-01 -0.695542E-02  0.512122E+00  0.259146E+00  0.439222E+00 -0.468600E-01
  0.780161E+00  0.716862E-01 -0.278203E-03  0.298692E-04  0.115431E-06 -0.297437E-04 -0.273308E-05
  0.259535E+00  0.128560E-01 -0.200860E-01  0.140690E+01  0.117999E+01 -0.755254E+00 -0.128734E+00
  0.104555E+01  0.937614E-01 -0.209460E-01  0.942718E-01  0.204672E-01 -0.916180E-01 -0.862603E-02
  0.143630E+01  0.691645E-01 -0.112403E+00  0.143857E+01  0.122006E+01 -0.750738E+00 -0.131632E+00
  0.221281E+01  0.198473E+00 -0.441732E-01  0.936045E-01  0.202502E-01 -0.909855E-01 -0.856496E-02
  0.212458E+01  0.215925E-01 -0.169097E+00  0.194636E+01  0.192008E+01 -0.245180E+00 -0.203688E+00
