# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97992    0.02305447    0.00010906    0.06555680        979875    0.02314441   -0.00029373    0.06616182
          20         97930    0.02335075   -0.00007535    0.06624141       1959407    0.02306883   -0.00013346    0.06617351
          30         97939    0.02281611   -0.00029129    0.06646190       2939080    0.02307704   -0.00000443    0.06620168
          40         97933    0.02334185   -0.00114234    0.06605783       3918931    0.02307219   -0.00003799    0.06614084
          50         98085    0.02348463    0.00012691    0.06652441       4898918    0.02308000    0.00002532    0.06619047
          60         97986    0.02361655   -0.00054383    0.06685646       5878879    0.02308617    0.00002813    0.06620494
          70         97936    0.02350859   -0.00114192    0.06627469       6858642    0.02309822    0.00001210    0.06621920
          80         97931    0.02315981    0.00083970    0.06648675       7838425    0.02312542    0.00003246    0.06622804
          90         97995    0.02323989   -0.00179440    0.06618005       8818152    0.02311420   -0.00000290    0.06619213
         100         97928    0.02331985   -0.00034610    0.06598344       9798112    0.02310987   -0.00000416    0.06621653
