# Name            pitch          Mach    Gamma   Alpha   Beta    CD           CL,y         CL,z         L/D          CA           CN,y         CN,z         Cm,x cg      Cm,y cg      Cm,z cg      Cm,x O       Cm,y O       Cm,z O       Cm_q cg      CP_x         CP_y   
input24     0.00           8.00     1.40     0.00     0.00   0.01808284  -0.00065922  -0.00034545  -0.01910374   0.01808284  -0.00065922  -0.00034545   0.00000000  -0.00009144  -0.00013292   0.00000000   0.00012839  -0.00055242  -0.11803898   1.25564754   0.20710464
input25     0.40           8.00     1.40     0.40     0.00   0.01806332   0.00052257   0.01172203   0.64894086   0.01798105   0.00052257   0.01184785   0.00000023  -0.00034107   0.00002413   0.00000023  -0.00788061   0.00035667  -0.11932706   1.65433642  -0.00196468
input26     0.80           8.00     1.40     0.80     0.00   0.01843149  -0.00038562   0.02332623   1.26556445   0.01810400  -0.00038562   0.02358130  -0.00000119  -0.00077289  -0.00004834  -0.00000119  -0.01577918  -0.00029374  -0.12012162   1.66569718   0.00090261
input27     1.20           8.00     1.40     1.20     0.00   0.01899826  -0.00069392   0.03613800   1.90217452   0.01823727  -0.00069392   0.03652795   0.00000598  -0.00119568  -0.00020101   0.00000598  -0.02444074  -0.00064260  -0.12321755   1.66593379   0.00302521
input28     1.60           8.00     1.40     1.60     0.00   0.02012033   0.00000628   0.04825275   2.39820909   0.01876518   0.00000628   0.04879573   0.00000087  -0.00156290  -0.00014140   0.00000087  -0.03261473  -0.00013740  -0.12404028   1.66454373   0.00110445
input29     2.00           8.00     1.40     2.00     0.00   0.02106876   0.00028906   0.06040594   2.86708578   0.01894779   0.00028906   0.06110443   0.00001207  -0.00220689   0.00009092   0.00001207  -0.04109153   0.00027487  -0.12479570   1.67470642   0.00040222
input30     2.40           8.00     1.40     2.40     0.00   0.02245224  -0.00014817   0.07295483   3.24933392   0.01937752  -0.00014817   0.07383104   0.00000832  -0.00248567  -0.00014144   0.00000832  -0.04946906  -0.00023573  -0.12623710   1.66873504   0.00022235
input31     2.80           8.00     1.40     2.80     0.00   0.02410705  -0.00048739   0.08588125   3.56249544   0.01988299  -0.00048739   0.08695634   0.00001912  -0.00318573  -0.00006025   0.00001912  -0.05852158  -0.00037041  -0.12934408   1.67610214   0.00021758
input32     3.20           8.00     1.40     3.20     0.00   0.02612040  -0.00059493   0.09827696   3.76245993   0.02059370  -0.00059493   0.09958180   0.00002186  -0.00378959  -0.00010714   0.00002186  -0.06715983  -0.00048573  -0.13088128   1.67988731   0.00106218
input33     3.60           8.00     1.40     3.60     0.00   0.02848799  -0.00044748   0.11111095   3.90027357   0.02145506  -0.00044748   0.11268047   0.00001942  -0.00421651   0.00002323   0.00001942  -0.07592227  -0.00026152  -0.13173385   1.67838368   0.00081231
input34     4.00           8.00     1.40     4.00     0.00   0.03085110  -0.00082436   0.12457611   4.03797983   0.02208596  -0.00082436   0.12642472  -0.00004034  -0.00498079  -0.00006952  -0.00004034  -0.08543288  -0.00059411  -0.13313490   1.68335039  -0.00012324
input35     4.40           8.00     1.40     4.40     0.00   0.03361369   0.00058719   0.13814206   4.10969630   0.02291650   0.00058719   0.14031373  -0.00003093  -0.00594793   0.00021742  -0.00003093  -0.09523848   0.00059109  -0.13722468   1.69113611  -0.00080914
input36     4.80           8.00     1.40     4.80     0.00   0.03677143  -0.00001510   0.15189361   4.13075116   0.02393233  -0.00001510   0.15443785   0.00001403  -0.00696925  -0.00014215   0.00001403  -0.10524788  -0.00015177  -0.13886253   1.69816198   0.00017125
input37     5.20           8.00     1.40     5.20     0.00   0.04012439  -0.00004925   0.16475794   4.10617920   0.02502682  -0.00004925   0.16771644   0.00006524  -0.00715613   0.00028210   0.00006524  -0.11388478   0.00025076  -0.13694357   1.69196831   0.00061353
input38     5.60           8.00     1.40     5.60     0.00   0.04327019  -0.00151104   0.17643347   4.07748325   0.02584679  -0.00151104   0.17981386   0.00004200  -0.00802750  -0.00003998   0.00004200  -0.12245450  -0.00100155  -0.13920131   1.69690720   0.00148524
input39     6.00           8.00     1.40     6.00     0.00   0.04739206  -0.00062643   0.19158368   4.04252679   0.02710650  -0.00062643   0.19548798  -0.00007325  -0.00864962   0.00003331  -0.00007325  -0.13305106  -0.00036533  -0.14434073   1.69610963  -0.00035911
input40     6.40           8.00     1.40     6.40     0.00   0.05132405  -0.00150450   0.20451647   3.98480734   0.02820697  -0.00150450   0.20896294   0.00018876  -0.00987366  -0.00020251   0.00018876  -0.14285008  -0.00115992  -0.15002458   1.70376673   0.00276659
input41     6.80           8.00     1.40     6.80     0.00   0.05553145   0.00049424   0.21653082   3.89924652   0.02950271   0.00049424   0.22158278  -0.00000363  -0.01093717  -0.00000287  -0.00000363  -0.15194439   0.00031164  -0.15191454   1.70915308  -0.00024973
input42     7.20           8.00     1.40     7.20     0.00   0.06051764   0.00036195   0.23289994   3.84846376   0.03085034   0.00036195   0.23864833  -0.00003462  -0.01120897  -0.00006930  -0.00003462  -0.16307609   0.00016103  -0.15853997   1.70318659  -0.00067765
input43     7.60           8.00     1.40     7.60     0.00   0.06539968   0.00022688   0.24755711   3.78529521   0.03208417   0.00022688   0.25403198  -0.00001309  -0.01249014  -0.00026358  -0.00001309  -0.17414685  -0.00011920  -0.16281431   1.70872256   0.00022707
input44     8.00           8.00     1.40     8.00     0.00   0.07123318  -0.00097897   0.26392431   3.70507557   0.03380878  -0.00097897   0.27126956  -0.00002725  -0.01388312   0.00003315  -0.00002725  -0.18650920  -0.00058983  -0.16765666   1.71385107  -0.00014361
input45     8.40           8.00     1.40     8.40     0.00   0.07690054  -0.00130414   0.28074535   3.65075919   0.03506344  -0.00130414   0.28896747   0.00006288  -0.01472608  -0.00043875   0.00006288  -0.19861446  -0.00126866  -0.17467147   1.71315602   0.00154220
input46     8.80           8.00     1.40     8.80     0.00   0.08248851  -0.00263333   0.29397724   3.56385684   0.03654313  -0.00263333   0.30313622   0.00014841  -0.01564014  -0.00054391   0.00014841  -0.20854501  -0.00221967  -0.17509759   1.71494799   0.00214760
input47     9.20           8.00     1.40     9.20     0.00   0.08888767  -0.00013107   0.31068837   3.49529225   0.03807101  -0.00013107   0.32090322  -0.00022077  -0.01636223  -0.00010277  -0.00022077  -0.22057337  -0.00018618  -0.18006061   1.71329611  -0.00144338
input48     9.60           8.00     1.40     9.60     0.00   0.09636414  -0.00137459   0.33083464   3.43317173   0.03984178  -0.00137459   0.34227218  -0.00004557  -0.01753741  -0.00048762  -0.00004557  -0.23534698  -0.00136236  -0.18740302   1.71435107   0.00020204
input49     10.00           8.00     1.40    10.00     0.00   0.10228089  -0.00010761   0.34452033   3.36837429   0.04090169  -0.00010761   0.35704718   0.00032878  -0.01944670   0.00013880   0.00032878  -0.24665855   0.00007032  -0.19100526   1.72230837   0.00215644
input50     10.40           8.00     1.40    10.40     0.00   0.11014133   0.00161484   0.36267995   3.29285965   0.04286120   0.00161484   0.37660427   0.00043761  -0.02005698   0.00015394   0.00043761  -0.25971424   0.00118157  -0.19632817   1.71943977   0.00249019
