# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98054    0.02344621    0.00040230    0.06479488        979757    0.02312610    0.00013073    0.06625094
          20         97977    0.02355843    0.00012273    0.06682514       1959509    0.02315291    0.00003976    0.06619158
          30         97938    0.02318850   -0.00068402    0.06760763       2939213    0.02315579    0.00012885    0.06631374
          40         97969    0.02332748    0.00000172    0.06682862       3919236    0.02315149    0.00008078    0.06632734
          50         98022    0.02385792    0.00021856    0.06733458       4899034    0.02317329    0.00003476    0.06632926
          60         98000    0.02313629   -0.00040720    0.06592044       5878793    0.02315351    0.00006029    0.06637730
          70         98000    0.02266289    0.00043378    0.06625528       6858792    0.02314678    0.00003166    0.06637882
          80         97994    0.02275240   -0.00055780    0.06570692       7838551    0.02313958    0.00001775    0.06631756
          90         98076    0.02322402    0.00124351    0.06618883       8818396    0.02314852    0.00002502    0.06629755
         100         97898    0.02335903    0.00000754    0.06610569       9798264    0.02315504    0.00003108    0.06630169
