# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         69023    0.09050240   -0.00145888   -0.32103214        692225    0.09011207    0.00057845   -0.32194148
          20         69404    0.09118335    0.00232533   -0.32237088       1385536    0.09028343    0.00049071   -0.32229030
          30         69257    0.09091680   -0.00046437   -0.32306035       2078222    0.09039370    0.00027997   -0.32252230
          40         69340    0.09087982    0.00040525   -0.32385081       2770912    0.09036918    0.00015672   -0.32250707
          50         69429    0.09088797   -0.00130649   -0.32538365       3463572    0.09039174    0.00003132   -0.32266934
          60         69439    0.09043414    0.00113459   -0.32367591       4156511    0.09037647    0.00001223   -0.32263749
          70         69004    0.09017589   -0.00071189   -0.32042987       4848425    0.09037437    0.00001482   -0.32259332
          80         69449    0.09045298   -0.00046291   -0.32305109       5541665    0.09038818    0.00004662   -0.32272054
          90         69389    0.09082483   -0.00099919   -0.32391511       6234712    0.09038679    0.00009799   -0.32263892
         100         69364    0.09128434   -0.00080768   -0.32642204       6927800    0.09037708    0.00007982   -0.32263091
