# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98024    0.02328646    0.00125792    0.06719663        979829    0.02312509    0.00032346    0.06630055
          20         98036    0.02290123   -0.00053384    0.06630747       1959835    0.02316751    0.00008306    0.06636736
          30         97979    0.02318989   -0.00083067    0.06649982       2939657    0.02315307   -0.00007538    0.06636479
          40         97889    0.02339823    0.00012272    0.06515639       3919436    0.02314011    0.00002834    0.06631660
          50         98005    0.02330999    0.00060279    0.06667460       4899396    0.02315281    0.00006058    0.06633815
          60         97963    0.02301518    0.00006187    0.06608291       5879222    0.02315035    0.00006703    0.06635757
          70         97994    0.02287311   -0.00002974    0.06584556       6858955    0.02314331    0.00004011    0.06632938
          80         98013    0.02311698   -0.00060718    0.06629175       7838705    0.02311587    0.00004447    0.06630835
          90         97972    0.02339020   -0.00108049    0.06528947       8818530    0.02311667    0.00004258    0.06628881
         100         97949    0.02249492   -0.00067101    0.06598061       9798435    0.02311921    0.00003682    0.06629537
