# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98021    0.02319258    0.00076790    0.06545543        979864    0.02307374   -0.00001330    0.06604119
          20         97996    0.02349537   -0.00027810    0.06687003       1959775    0.02311104    0.00005178    0.06614756
          30         97959    0.02337103    0.00092839    0.06608595       2939971    0.02313302    0.00007574    0.06621311
          40         98033    0.02284559    0.00001360    0.06644166       3920010    0.02312691    0.00005779    0.06616343
          50         97980    0.02319954    0.00022837    0.06641382       4899900    0.02313262    0.00008259    0.06624938
          60         97997    0.02292818   -0.00040429    0.06552055       5879861    0.02313305    0.00001180    0.06629715
          70         98006    0.02315458   -0.00031751    0.06682673       6860054    0.02312209    0.00000727    0.06632629
          80         97947    0.02320480   -0.00048814    0.06569367       7839984    0.02311911    0.00000700    0.06630853
          90         97993    0.02349103   -0.00078341    0.06677977       8819669    0.02311673    0.00000416    0.06628355
         100         98031    0.02324746    0.00023847    0.06552818       9799838    0.02311310   -0.00000342    0.06627189
