# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98000    0.02339264    0.00048598    0.06695766        980088    0.02312629    0.00028405    0.06620518
          20         98012    0.02349227    0.00100320    0.06684651       1959917    0.02321174    0.00006400    0.06637191
          30         97966    0.02376829   -0.00139125    0.06514843       2939750    0.02319417    0.00004736    0.06630638
          40         98057    0.02324389   -0.00065513    0.06541683       3919734    0.02319416   -0.00002963    0.06630633
          50         98014    0.02270441   -0.00004787    0.06676469       4899346    0.02318709   -0.00002796    0.06634955
          60         98022    0.02319620    0.00113671    0.06692976       5879200    0.02320629   -0.00003808    0.06636390
          70         98006    0.02350342   -0.00006399    0.06512077       6859028    0.02319755   -0.00005722    0.06634354
          80         97923    0.02341045    0.00069019    0.06668672       7838905    0.02318504   -0.00005828    0.06630915
          90         98006    0.02274809   -0.00018785    0.06645390       8818491    0.02318824   -0.00004904    0.06627159
         100         98031    0.02318809   -0.00099629    0.06717708       9798390    0.02318395   -0.00006213    0.06628756
