# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98026    0.02325433    0.00009237    0.06657947        980071    0.02325942   -0.00018156    0.06633686
          20         98004    0.02336250   -0.00049608    0.06664723       1959957    0.02320082   -0.00010562    0.06638467
          30         97990    0.02308227   -0.00040646    0.06662350       2939973    0.02316066   -0.00007506    0.06647588
          40         97941    0.02333765    0.00008341    0.06615177       3919693    0.02318854   -0.00006138    0.06639908
          50         98023    0.02362824   -0.00075503    0.06714177       4899688    0.02318251   -0.00002333    0.06635980
          60         97963    0.02292344   -0.00042973    0.06535065       5879330    0.02317303   -0.00001470    0.06630113
          70         97862    0.02325308    0.00057711    0.06601774       6859091    0.02314505   -0.00001413    0.06624894
          80         97993    0.02300995   -0.00013365    0.06707553       7838994    0.02314606   -0.00004155    0.06626859
          90         98004    0.02303875   -0.00015281    0.06550216       8818929    0.02314592   -0.00002421    0.06626437
         100         97937    0.02281247   -0.00002695    0.06633573       9798707    0.02312680   -0.00003377    0.06624292
