# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         74927    0.06550889   -0.00109843   -0.25211648        749297    0.06627286   -0.00025975   -0.25470951
          20         74991    0.06646292   -0.00108583   -0.25441517       1499543    0.06630391   -0.00031788   -0.25491190
          30         74916    0.06695257    0.00063720   -0.25553215       2248234    0.06627443   -0.00018198   -0.25495135
          40         75078    0.06640863    0.00091360   -0.25706188       2997746    0.06626008   -0.00020199   -0.25500993
          50         75033    0.06636180    0.00001381   -0.25487417       3747772    0.06624554   -0.00020462   -0.25502319
          60         74902    0.06589655   -0.00046564   -0.25289434       4497142    0.06625230   -0.00017928   -0.25508261
          70         74838    0.06650872   -0.00085693   -0.25494645       5246667    0.06622671   -0.00019481   -0.25502233
          80         74774    0.06578763    0.00046959   -0.25466840       5996000    0.06621220   -0.00010889   -0.25502527
          90         75069    0.06596912    0.00072931   -0.25571001       6745734    0.06621743   -0.00001450   -0.25507967
         100         74911    0.06587187   -0.00049756   -0.25565895       7495606    0.06622873   -0.00002324   -0.25510650
