# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98049    0.02309358   -0.00052900   -0.06650945        980130    0.02308580   -0.00009706   -0.06614109
          20         97988    0.02324424   -0.00016882   -0.06666079       1959949    0.02311426    0.00001154   -0.06637626
          30         98031    0.02351747   -0.00009060   -0.06698174       2940006    0.02315312    0.00011477   -0.06642876
          40         97995    0.02287049   -0.00066034   -0.06588023       3919869    0.02314325    0.00007657   -0.06633052
          50         98039    0.02328088    0.00038018   -0.06633516       4899773    0.02312090    0.00004458   -0.06632265
          60         97997    0.02344431    0.00089597   -0.06607230       5879635    0.02312878    0.00007117   -0.06628938
          70         97942    0.02309607   -0.00009653   -0.06700244       6859406    0.02313393    0.00007046   -0.06627827
          80         97954    0.02327477   -0.00003312   -0.06635354       7839084    0.02312845    0.00009052   -0.06627760
          90         98004    0.02316572    0.00096703   -0.06671230       8818989    0.02312398    0.00009370   -0.06627593
         100         98040    0.02315668    0.00009696   -0.06634343       9798777    0.02311946    0.00009263   -0.06627594
