# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98033    0.02341682    0.00007052    0.06665572        979959    0.02324421   -0.00004858    0.06613812
          20         97959    0.02303305   -0.00046467    0.06681997       1959702    0.02321437    0.00001930    0.06644355
          30         98068    0.02305253    0.00011395    0.06667095       2939675    0.02319759   -0.00000408    0.06632268
          40         98006    0.02312155    0.00016825    0.06586312       3919599    0.02316847    0.00007744    0.06625811
          50         98001    0.02294840   -0.00007253    0.06581321       4899392    0.02317050    0.00004207    0.06630314
          60         97974    0.02271051   -0.00016410    0.06606292       5879192    0.02316131    0.00005119    0.06629960
          70         97934    0.02308731   -0.00023956    0.06628227       6859131    0.02316604    0.00000234    0.06627351
          80         98017    0.02311303    0.00056545    0.06606606       7839102    0.02316347   -0.00001654    0.06629378
          90         97993    0.02287412   -0.00103582    0.06704631       8818958    0.02316790    0.00000025    0.06632036
         100         98066    0.02337908   -0.00109075    0.06538145       9798950    0.02317773   -0.00002312    0.06627790
