# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97923    0.02326715    0.00077890    0.06652485        979950    0.02301562    0.00003687    0.06596036
          20         97990    0.02285788   -0.00041208    0.06744485       1959703    0.02303812   -0.00001803    0.06607586
          30         97982    0.02325517    0.00016188    0.06617525       2939698    0.02309315    0.00000371    0.06608545
          40         97925    0.02346233    0.00033798    0.06678767       3919456    0.02312671    0.00000325    0.06613485
          50         97936    0.02313576    0.00065832    0.06768411       4899107    0.02312660    0.00007638    0.06616326
          60         97968    0.02321064    0.00030669    0.06642117       5878778    0.02311833    0.00007829    0.06616163
          70         98047    0.02294225    0.00065299    0.06657592       6858745    0.02312305    0.00004675    0.06621315
          80         97954    0.02357188    0.00058893    0.06793663       7838696    0.02310942    0.00005595    0.06625395
          90         98093    0.02261313   -0.00023600    0.06673194       8818757    0.02309423    0.00004424    0.06622982
         100         98052    0.02353051    0.00068449    0.06719641       9798770    0.02310603    0.00005519    0.06626906
