# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         95764    0.01984815   -0.00072646    0.00069893        958535    0.01980639    0.00007174    0.00001145
          20         95873    0.01991019   -0.00045045   -0.00067693       1917246    0.01969363    0.00000704   -0.00007295
          30         96012    0.01938867   -0.00039426    0.00037829       2876269    0.01972134   -0.00002354   -0.00008254
          40         95973    0.01995415    0.00027996   -0.00005603       3835398    0.01968331    0.00001685   -0.00006815
          50         95909    0.01929641    0.00022947   -0.00058078       4794243    0.01970545   -0.00000233   -0.00008471
          60         95824    0.01927304    0.00029097   -0.00013019       5753002    0.01969721    0.00000202   -0.00006530
          70         95984    0.01985801   -0.00015352    0.00014846       6711798    0.01971733    0.00001951   -0.00003258
          80         95940    0.01953802    0.00037062    0.00072952       7670632    0.01970649    0.00006290   -0.00002283
          90         95951    0.01940451   -0.00058257    0.00050126       8629718    0.01968706    0.00006281   -0.00002104
         100         95925    0.02002695    0.00010454   -0.00066046       9588717    0.01969330    0.00004422   -0.00004828
