# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97949    0.02321163    0.00025589    0.06637253        980102    0.02319575   -0.00009435    0.06649662
          20         97987    0.02310910    0.00014722    0.06568799       1959942    0.02311668   -0.00010800    0.06622213
          30         97996    0.02299377    0.00054316    0.06597511       2939967    0.02313391    0.00000669    0.06623233
          40         97942    0.02248067   -0.00084205    0.06585030       3919987    0.02308282    0.00001889    0.06629061
          50         98008    0.02334500    0.00059502    0.06815187       4899873    0.02310253    0.00003059    0.06627876
          60         97963    0.02275804    0.00076832    0.06662115       5879586    0.02307809    0.00004984    0.06629617
          70         98081    0.02341902   -0.00008708    0.06729195       6859731    0.02307563    0.00002085    0.06629082
          80         98002    0.02309799   -0.00097036    0.06707920       7839824    0.02307253    0.00001532    0.06632097
          90         97961    0.02257677   -0.00022508    0.06499389       8819548    0.02306618    0.00002634    0.06631374
         100         98097    0.02294719    0.00083367    0.06580732       9799372    0.02307805    0.00003498    0.06631643
