# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97913    0.02011245    0.00007526    0.02599123        979915    0.02019279    0.00013866    0.02611323
          20         97909    0.02042768   -0.00077071    0.02655838       1959771    0.02019326    0.00006211    0.02602505
          30         97951    0.01976275    0.00056025    0.02688133       2939432    0.02019657    0.00002902    0.02612934
          40         97943    0.02057568   -0.00046559    0.02616253       3919364    0.02020690    0.00002853    0.02609403
          50         97925    0.01979213   -0.00123694    0.02525885       4899034    0.02019114   -0.00000121    0.02606109
          60         97919    0.02033051    0.00005389    0.02566403       5878840    0.02021721   -0.00004074    0.02606433
          70         97925    0.01981765    0.00049316    0.02614736       6858551    0.02020849    0.00000748    0.02606158
          80         97944    0.02037930    0.00011011    0.02497742       7838422    0.02020113   -0.00000454    0.02603108
          90         97923    0.01998745    0.00062256    0.02566836       8818012    0.02020096   -0.00000191    0.02598252
         100         97934    0.02052342    0.00014694    0.02543992       9797934    0.02020743   -0.00000824    0.02598046
