# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         68957    0.09016563    0.00171351    0.32084436        692835    0.09044844   -0.00029227    0.32261201
          20         69136    0.08969157   -0.00061561    0.32059443       1384625    0.09038564   -0.00011977    0.32248864
          30         69266    0.09077695    0.00087190    0.32357391       2077584    0.09045319   -0.00020385    0.32280008
          40         69443    0.09136444    0.00031790    0.32727154       2769874    0.09050083   -0.00017880    0.32310791
          50         69561    0.09051418   -0.00091795    0.32377896       3462588    0.09051935   -0.00015262    0.32313023
          60         69145    0.09003920   -0.00006230    0.32268912       4155497    0.09046268   -0.00014546    0.32290531
          70         69318    0.09016357   -0.00012497    0.32222896       4848900    0.09047940   -0.00014381    0.32296014
          80         69134    0.09056397   -0.00099801    0.32310871       5541633    0.09048362   -0.00019056    0.32294066
          90         69188    0.09000642   -0.00092601    0.31987108       6234427    0.09048665   -0.00027008    0.32298151
         100         69236    0.08971276   -0.00143002    0.32090638       6927397    0.09044710   -0.00030828    0.32292286
