  0.260143E-02 -0.267024E-02  0.878365E-02  0.127458E+01  0.101750E+01  0.194482E+00 -0.742576E+00
  0.132552E-01 -0.131949E-01  0.106830E-01  0.661265E-01  0.120240E-01  0.498590E-01 -0.417399E-01
  0.125727E-01  0.167194E-01 -0.156009E-02  0.166944E+00  0.482325E-01 -0.159497E+00  0.102249E-01
  0.107839E-02  0.525576E-02 -0.299293E-02  0.180724E+01  0.171794E+01 -0.542766E+00  0.142119E+00
  0.833230E-03 -0.356042E-02  0.397394E-02  0.171377E+01  0.158641E+01  0.348672E+00 -0.546583E+00
  0.218026E-03 -0.115534E-02  0.249971E-02  0.187749E+01  0.181908E+01  0.123951E+00 -0.447831E+00
  0.398676E-02 -0.886443E-02 -0.671298E-02  0.129905E+01  0.104695E+01  0.658022E+00  0.398051E+00
  0.474675E-02  0.113919E-01 -0.371890E-02  0.111308E+01  0.830376E+00 -0.724575E+00  0.156254E+00
  0.537775E-02  0.125434E-01  0.140178E-02  0.929096E+00  0.633251E+00 -0.665942E+00 -0.136870E+00
  0.311337E-02 -0.485971E-02 -0.869817E-02  0.150224E+01  0.130195E+01  0.417169E+00  0.622594E+00
  0.576957E-02 -0.407453E-02  0.123307E-01  0.716053E+00  0.428452E+00  0.166719E+00 -0.548967E+00
  0.970829E-03  0.204206E-02 -0.537276E-02  0.188171E+01  0.182521E+01 -0.219574E+00  0.401518E+00
  0.134631E-03 -0.210967E-02 -0.493233E-03  0.196147E+01  0.194249E+01  0.236460E+00 -0.134914E+00
  0.457670E-03  0.343565E-02  0.200132E-02  0.183568E+01  0.175866E+01 -0.360386E+00 -0.383375E+00
  0.230725E-02  0.469671E-03  0.867235E-02  0.133059E+01  0.108530E+01 -0.357108E-01 -0.768967E+00
  0.968681E-02 -0.154956E-01  0.225612E-02  0.372828E+00  0.160971E+00  0.330125E+00 -0.640791E-01
  0.465884E-03  0.518063E-03  0.397750E-02  0.179193E+01  0.169615E+01 -0.530475E-01 -0.575542E+00
  0.426692E-02  0.570290E-02 -0.993039E-02  0.130554E+01  0.105479E+01 -0.425448E+00  0.640956E+00
  0.836808E-03 -0.326402E-02  0.423488E-02  0.170764E+01  0.157790E+01  0.318501E+00 -0.569933E+00
  0.847229E-02  0.140660E-01 -0.518622E-02  0.588235E+00  0.319015E+00 -0.472808E+00  0.143883E+00
