# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97977    0.03348172    0.00003687   -0.13540358        979847    0.03371118   -0.00016008   -0.13555394
          20         98005    0.03402091   -0.00044569   -0.13617215       1959850    0.03367130   -0.00011272   -0.13562812
          30         97985    0.03331336    0.00027415   -0.13513635       2939795    0.03366516    0.00003494   -0.13567940
          40         98020    0.03367984    0.00034731   -0.13498266       3919718    0.03370501    0.00004875   -0.13581410
          50         98009    0.03345936    0.00016566   -0.13714379       4899572    0.03371688    0.00006673   -0.13589521
          60         97938    0.03380503   -0.00076156   -0.13617366       5879398    0.03372615    0.00005607   -0.13588969
          70         97973    0.03383062   -0.00182344   -0.13378089       6859031    0.03374934    0.00004885   -0.13583288
          80         98045    0.03323719   -0.00029352   -0.13492392       7839128    0.03371850    0.00006303   -0.13587566
          90         97956    0.03384715    0.00061610   -0.13659043       8818840    0.03371579    0.00004124   -0.13589891
         100         97940    0.03346058   -0.00028596   -0.13589602       9798412    0.03370355   -0.00002861   -0.13590101
