# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98026    0.04039575    0.00063061    0.16580548        979801    0.04006222    0.00001156    0.16474732
          20         98042    0.04016755   -0.00034949    0.16603771       1959685    0.04005157   -0.00006247    0.16470213
          30         98001    0.03930245    0.00009591    0.16239187       2939634    0.04002839    0.00007358    0.16469580
          40         97962    0.04017766   -0.00035387    0.16503148       3919396    0.04003512    0.00004337    0.16468001
          50         98014    0.03958603    0.00051864    0.16376854       4899505    0.04000321    0.00006178    0.16458797
          60         97961    0.03938732   -0.00029817    0.16377617       5879565    0.04000972    0.00003502    0.16458803
          70         97976    0.03999461   -0.00042634    0.16506324       6859413    0.04001403    0.00007940    0.16460801
          80         97972    0.04007606    0.00056238    0.16507042       7839258    0.04002199    0.00007725    0.16460449
          90         97898    0.04022836   -0.00118433    0.16292659       8819003    0.04000083    0.00004747    0.16454725
         100         98000    0.03975333    0.00110303    0.16362576       9798871    0.04000158    0.00004838    0.16451268
