# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97994    0.04358210   -0.00019319   -0.18004807        979734    0.04355234   -0.00036402   -0.17879093
          20         97924    0.04336630   -0.00022532   -0.17813860       1959656    0.04346935   -0.00022220   -0.17896314
          30         97966    0.04327608   -0.00139872   -0.17784226       2939655    0.04346599   -0.00023099   -0.17885937
          40         97988    0.04382290   -0.00051423   -0.17889633       3919325    0.04352413   -0.00018470   -0.17893717
          50         98008    0.04332563    0.00002282   -0.17775416       4899281    0.04354144   -0.00015412   -0.17887010
          60         98053    0.04318531   -0.00009131   -0.17721169       5879242    0.04355202   -0.00013648   -0.17885726
          70         98025    0.04361124    0.00091468   -0.17909419       6859275    0.04358128   -0.00009355   -0.17893830
          80         97974    0.04347693   -0.00100205   -0.17847152       7839275    0.04358004   -0.00007383   -0.17891595
          90         98086    0.04355812    0.00027560   -0.17853586       8819175    0.04356222   -0.00003362   -0.17891013
         100         97946    0.04367165    0.00078600   -0.18043625       9799096    0.04354652   -0.00000927   -0.17889354
