# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97949    0.03645926   -0.00050529    0.14993330        979659    0.03672058    0.00005975    0.15042145
          20         97941    0.03635060   -0.00116410    0.14926514       1959508    0.03669786    0.00008970    0.15019479
          30         97929    0.03680599   -0.00070252    0.15055196       2939521    0.03670225    0.00012636    0.15022470
          40         98012    0.03636458   -0.00143054    0.14889963       3919302    0.03667102    0.00006271    0.15007223
          50         98027    0.03682654    0.00123563    0.14917275       4899317    0.03668535    0.00008665    0.15018055
          60         98004    0.03677427    0.00079413    0.15112869       5879356    0.03668342    0.00019774    0.15018013
          70         98015    0.03693766    0.00065320    0.15126265       6859152    0.03669334    0.00016964    0.15023744
          80         97977    0.03664161   -0.00055904    0.15091497       7839079    0.03666400    0.00014648    0.15018698
          90         97995    0.03697976    0.00056196    0.14930999       8818935    0.03666254    0.00011444    0.15016702
         100         97994    0.03685507   -0.00016852    0.14977938       9798642    0.03666057    0.00009967    0.15019976
