# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98016    0.02353935   -0.00028976    0.06721660        980127    0.02312250   -0.00001311    0.06666999
          20         98073    0.02263380   -0.00153041    0.06598027       1960373    0.02304941   -0.00014423    0.06638406
          30         98010    0.02308242   -0.00035125    0.06613685       2940384    0.02301706   -0.00000720    0.06640789
          40         97928    0.02331101    0.00090421    0.06626056       3920122    0.02306054    0.00001624    0.06636584
          50         97997    0.02328009    0.00052178    0.06664919       4900017    0.02308939    0.00006092    0.06638537
          60         97966    0.02277822   -0.00098085    0.06687134       5879825    0.02312748    0.00001193    0.06640770
          70         98015    0.02345947   -0.00011448    0.06840626       6859699    0.02311828    0.00000656    0.06641230
          80         98020    0.02303714   -0.00042764    0.06633857       7839726    0.02313705    0.00000487    0.06641001
          90         97930    0.02293990    0.00004948    0.06654144       8819466    0.02314405    0.00001135    0.06642063
         100         97979    0.02325622    0.00094660    0.06617679       9799304    0.02314222   -0.00001752    0.06638755
