# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98045    0.02633990    0.00043162    0.09398229        979802    0.02648624    0.00039670    0.09348673
          20         98003    0.02636563   -0.00063168    0.09384958       1959700    0.02641350    0.00003693    0.09345541
          30         97987    0.02679253   -0.00039247    0.09440827       2939448    0.02646489   -0.00003503    0.09355721
          40         97915    0.02639600   -0.00023204    0.09359981       3919112    0.02648258   -0.00003995    0.09368962
          50         97980    0.02711758    0.00065507    0.09432645       4899074    0.02650344   -0.00008841    0.09370735
          60         98024    0.02604232    0.00125555    0.09480709       5878976    0.02647804   -0.00005941    0.09369350
          70         97975    0.02718166    0.00079139    0.09496062       6858746    0.02649486   -0.00008031    0.09366993
          80         97932    0.02637891   -0.00047256    0.09350964       7838742    0.02649678   -0.00010669    0.09371902
          90         98067    0.02597246   -0.00106499    0.09401137       8818627    0.02648854   -0.00011146    0.09371433
         100         97981    0.02673317   -0.00068140    0.09512412       9798718    0.02649510   -0.00007919    0.09374251
