# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         67155    0.10431092   -0.00049988    0.36021674        673102    0.10469354   -0.00044634    0.35904545
          20         67352    0.10476667    0.00104114    0.35849410       1346618    0.10471047   -0.00008036    0.35885139
          30         67445    0.10529978   -0.00070052    0.36203635       2020569    0.10466958   -0.00014290    0.35881908
          40         67398    0.10495684    0.00100973    0.35724805       2694598    0.10468271    0.00000654    0.35899447
          50         67186    0.10540936    0.00014791    0.36096787       3368054    0.10478844   -0.00011408    0.35929794
          60         67417    0.10510472    0.00043018    0.36058039       4041430    0.10478152   -0.00005233    0.35933044
          70         67442    0.10473054   -0.00103580    0.35934318       4714477    0.10479928   -0.00015380    0.35945358
          80         67037    0.10395020   -0.00191739    0.35942747       5387642    0.10477773   -0.00013575    0.35943557
          90         67346    0.10459623   -0.00154613    0.35874612       6060842    0.10473952   -0.00013784    0.35928173
         100         67424    0.10544272    0.00125380    0.36224993       6733554    0.10475179   -0.00007995    0.35936969
