# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         68505    0.09753268    0.00170031   -0.34264218        682709    0.09714665    0.00035269   -0.33954535
          20         68272    0.09750860    0.00145615   -0.34117402       1365416    0.09728295    0.00010045   -0.34002578
          30         68298    0.09729709   -0.00222379   -0.33929475       2048094    0.09731171    0.00011189   -0.34028676
          40         68352    0.09725042    0.00251837   -0.34282836       2730492    0.09721361    0.00020858   -0.33999030
          50         68257    0.09748231    0.00119618   -0.34054163       3411948    0.09724594    0.00019875   -0.34014854
          60         68268    0.09712650    0.00099824   -0.34230793       4093559    0.09721939    0.00020412   -0.34011888
          70         67909    0.09606273   -0.00319045   -0.33587719       4774966    0.09714945    0.00006843   -0.33981393
          80         68141    0.09760128    0.00147568   -0.34204914       5457479    0.09718475    0.00004692   -0.34003431
          90         68079    0.09638253    0.00218305   -0.33829461       6139253    0.09718060    0.00006121   -0.34005995
         100         68163    0.09742611    0.00215276   -0.34206387       6821475    0.09716800    0.00006625   -0.34010698
