# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97942    0.02312739    0.00095782    0.06691960        979649    0.02319197    0.00001451    0.06653967
          20         98023    0.02289879    0.00103590    0.06644427       1959411    0.02314471   -0.00016567    0.06647319
          30         98087    0.02386964   -0.00035341    0.06698915       2939334    0.02316468   -0.00015226    0.06640618
          40         98010    0.02308524   -0.00071183    0.06620889       3919357    0.02316963   -0.00016445    0.06633665
          50         97958    0.02304263    0.00014165    0.06644994       4899458    0.02314568   -0.00011527    0.06625244
          60         98058    0.02292709   -0.00011852    0.06683295       5879200    0.02313949   -0.00014302    0.06629056
          70         98082    0.02251802    0.00046026    0.06646052       6859353    0.02311387   -0.00014278    0.06630538
          80         98034    0.02345646    0.00033328    0.06526102       7839233    0.02311633   -0.00010766    0.06626400
          90         98040    0.02307176    0.00058683    0.06591867       8819200    0.02311004   -0.00012071    0.06626790
         100         97945    0.02355933    0.00085953    0.06616438       9798879    0.02312315   -0.00009892    0.06626933
