# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
         680         12697    1.21163060    0.00146061    0.46452067       8636074    1.20496581    0.00010125    0.46545080
         690         12692    1.19965040    0.00260346    0.46445003       8763168    1.20491657    0.00010206    0.46544914
         700         12658    1.19412461    0.00742823    0.46716953       8890322    1.20489947    0.00011180    0.46545304
         710         12716    1.18914408    0.00824462    0.45957371       9017276    1.20486116    0.00010101    0.46544945
         720         12733    1.20185499   -0.00018135    0.46369682       9144313    1.20487905    0.00009665    0.46545717
         730         12736    1.20964078   -0.00359384    0.46135379       9271370    1.20485351    0.00008929    0.46543548
         740         12667    1.21134435   -0.00396674    0.46629376       9398263    1.20484415    0.00008769    0.46542321
         750         12661    1.20967285    0.00650186    0.46726966       9525192    1.20486108    0.00009177    0.46543046
         760         12712    1.20415972   -0.00097317    0.46539728       9652154    1.20482291    0.00006862    0.46543274
         770         12674    1.20567757   -0.00637309    0.46537956       9779217    1.20488626    0.00004809    0.46543093
         780         12663    1.20366011   -0.00312378    0.46145988       9906291    1.20491065    0.00005512    0.46542803
         790         12711    1.20841318   -0.00224075    0.47246900      10033413    1.20493419    0.00006486    0.46543583
         800         12691    1.19515623    0.00267241    0.46631607      10160480    1.20495188    0.00007827    0.46544884
         810         12691    1.19456244   -0.00296304    0.46257578      10287585    1.20498897    0.00005931    0.46543584
         820         12758    1.21502270    0.00167438    0.46936537      10414627    1.20499251    0.00006037    0.46544171
         830         12745    1.20960019   -0.00151336    0.46635259      10541695    1.20498316    0.00006199    0.46543830
         840         12730    1.21436341    0.00093914    0.46523559      10668583    1.20498352    0.00008411    0.46544158
         850         12707    1.20667269   -0.00338865    0.46659937      10795521    1.20495014    0.00006324    0.46543397
         860         12715    1.21391073   -0.00265748    0.46444412      10922482    1.20493802    0.00006495    0.46541944
         870         12613    1.20189462   -0.00069657    0.46682679      11049431    1.20491879    0.00006493    0.46542595
         880         12695    1.20608543   -0.00241213    0.46851851      11176483    1.20489993    0.00005391    0.46542824
         890         12692    1.18802655   -0.00240372    0.46136468      11303432    1.20490335    0.00004731    0.46540659
         900         12678    1.20459089   -0.00135913    0.46952531      11430530    1.20489361    0.00006327    0.46540076
         910         12658    1.20347732   -0.00210709    0.46296172      11557495    1.20488205    0.00005114    0.46539263
         920         12716    1.21146472   -0.00147446    0.46593248      11684547    1.20491887    0.00004202    0.46541269
         930         12681    1.19769601   -0.00187282    0.46356783      11811499    1.20491460    0.00003958    0.46540390
         940         12652    1.20864738   -0.00644526    0.47347926      11938582    1.20491264    0.00001954    0.46541551
         950         12744    1.21062846   -0.00678971    0.46936822      12065658    1.20493396    0.00001764    0.46540250
         960         12741    1.19943523    0.00604772    0.46793550      12192824    1.20494702    0.00001345    0.46542073
         970         12707    1.20643232    0.00432131    0.46487870      12319864    1.20495821    0.00002225    0.46542413
         980         12662    1.20534002    0.00681709    0.46790103      12446792    1.20498032    0.00002425    0.46543059
         990         12735    1.20134124    0.00020773    0.47138868      12573934    1.20502220    0.00002605    0.46543632
        1000         12717    1.19411060    0.00598584    0.46661547      12700901    1.20500274    0.00004079    0.46544388
