# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         83176    0.05177086   -0.00103856   -0.20854654        829346    0.05144549    0.00001949   -0.20818111
          20         83074    0.05150295    0.00030406   -0.20743799       1658673    0.05152344    0.00026084   -0.20808810
          30         82801    0.05105698    0.00055894   -0.20630635       2487272    0.05152418    0.00019307   -0.20792102
          40         82784    0.05139724   -0.00051925   -0.20771107       3316170    0.05155805    0.00021524   -0.20793159
          50         83086    0.05101135    0.00040217   -0.20660149       4145104    0.05154621    0.00009171   -0.20793637
          60         82881    0.05195116    0.00156348   -0.20734051       4974019    0.05157970    0.00006322   -0.20804122
          70         82817    0.05117202   -0.00091880   -0.20578663       5802667    0.05160834    0.00008553   -0.20803033
          80         82935    0.05077884    0.00152260   -0.20525509       6631877    0.05160629    0.00008445   -0.20798979
          90         83148    0.05175064    0.00030084   -0.20962200       7460807    0.05161404    0.00009410   -0.20800984
         100         82964    0.05160028    0.00101636   -0.20741141       8289762    0.05164102    0.00005971   -0.20805183
