# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97983    0.02437228   -0.00087935    0.08016602        979952    0.02469609   -0.00016893    0.07999578
          20         98013    0.02476034   -0.00059348    0.07963184       1959833    0.02464116   -0.00024529    0.07987137
          30         98025    0.02457059    0.00036590    0.08098763       2939633    0.02460200   -0.00012279    0.07990655
          40         97955    0.02452308    0.00042569    0.08070565       3919482    0.02461374   -0.00008936    0.07995161
          50         97969    0.02454602   -0.00055062    0.08048438       4899437    0.02458707   -0.00006336    0.07998477
          60         97946    0.02473824   -0.00149249    0.07968584       5879092    0.02461642   -0.00006169    0.07996824
          70         97982    0.02438509   -0.00002638    0.08039033       6859018    0.02461917   -0.00005201    0.07996593
          80         98089    0.02512896    0.00041783    0.08018359       7838913    0.02463723   -0.00004819    0.07999990
          90         98005    0.02463946    0.00055967    0.08008361       8818958    0.02463972   -0.00002649    0.07999306
         100         98039    0.02431665    0.00085857    0.08049821       9798647    0.02464544   -0.00000618    0.07999115
