# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97962    0.04376985    0.00017425    0.17844657        979716    0.04347485   -0.00010286    0.17865338
          20         98053    0.04346932    0.00015908    0.17777186       1959586    0.04352153   -0.00016427    0.17884360
          30         98092    0.04377046   -0.00027161    0.17785448       2939518    0.04354713   -0.00006724    0.17887479
          40         97925    0.04358484    0.00024992    0.17856770       3919303    0.04352251   -0.00004711    0.17887961
          50         97994    0.04353030   -0.00066934    0.17754871       4899042    0.04349401   -0.00006513    0.17880215
          60         98063    0.04392832   -0.00093468    0.18013641       5879131    0.04352193    0.00000332    0.17891877
          70         97950    0.04377434    0.00146959    0.17876399       6858863    0.04352721    0.00002823    0.17898806
          80         97975    0.04328571   -0.00011378    0.17711624       7838820    0.04352833    0.00003539    0.17896890
          90         97993    0.04339311    0.00041997    0.17806031       8818911    0.04352431    0.00002646    0.17901413
         100         97956    0.04417347   -0.00047648    0.18124322       9798827    0.04354167    0.00001801    0.17905642
