# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98000    0.02287078   -0.00008423    0.06701220        980017    0.02301516    0.00008503    0.06630534
          20         98043    0.02350541   -0.00002564    0.06623874       1959742    0.02302057    0.00000271    0.06621183
          30         97997    0.02326865   -0.00053992    0.06631748       2939670    0.02307734    0.00001404    0.06626189
          40         98042    0.02343524   -0.00061717    0.06547792       3919791    0.02310476   -0.00005399    0.06620005
          50         97974    0.02290414   -0.00047519    0.06606542       4899667    0.02310607   -0.00009386    0.06618601
          60         98062    0.02323795   -0.00017006    0.06554010       5879684    0.02309064   -0.00013018    0.06621917
          70         98003    0.02276465    0.00037014    0.06593282       6859389    0.02309036   -0.00013250    0.06623148
          80         97969    0.02341335   -0.00008973    0.06654093       7839378    0.02307363   -0.00015875    0.06624241
          90         97929    0.02316471   -0.00029515    0.06542643       8819280    0.02307732   -0.00015024    0.06622034
         100         97981    0.02309793   -0.00017885    0.06634399       9799274    0.02309007   -0.00013914    0.06625033
