# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98033    0.02306514   -0.00051305    0.06671951        979983    0.02308746   -0.00023714    0.06638124
          20         97929    0.02337079    0.00019309    0.06642865       1959765    0.02315291   -0.00008563    0.06617740
          30         98021    0.02299994   -0.00065355    0.06537531       2939623    0.02314557   -0.00004676    0.06609710
          40         97974    0.02299784   -0.00018213    0.06610489       3919381    0.02314781   -0.00007804    0.06614252
          50         97950    0.02315836   -0.00043169    0.06632308       4899208    0.02311164   -0.00004898    0.06614094
          60         98018    0.02311114   -0.00071076    0.06640096       5879033    0.02311871   -0.00004751    0.06613471
          70         98043    0.02310173   -0.00014148    0.06586550       6859117    0.02313026   -0.00004166    0.06611686
          80         97979    0.02294863    0.00121307    0.06651427       7839081    0.02314473   -0.00004779    0.06616939
          90         97997    0.02310971   -0.00093459    0.06558671       8818806    0.02313384   -0.00004011    0.06617045
         100         97996    0.02317541   -0.00003524    0.06566137       9798635    0.02312598   -0.00004805    0.06617439
