# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97987    0.02303733    0.00104315    0.06661912        979687    0.02316357   -0.00005842    0.06603103
          20         97933    0.02326097    0.00112198    0.06595972       1959703    0.02316653   -0.00005222    0.06598533
          30         97937    0.02267024    0.00043048    0.06538856       2939597    0.02310784   -0.00000095    0.06598788
          40         97955    0.02317790   -0.00016720    0.06653048       3919277    0.02312918    0.00000548    0.06607537
          50         98004    0.02330730   -0.00038026    0.06697670       4899173    0.02313737    0.00005440    0.06613468
          60         98015    0.02339456   -0.00063660    0.06659925       5879225    0.02314381    0.00004027    0.06616056
          70         98001    0.02347316   -0.00006046    0.06690249       6859332    0.02312444   -0.00000677    0.06621674
          80         97999    0.02295166   -0.00156299    0.06539627       7839458    0.02311813   -0.00001159    0.06620392
          90         97903    0.02370518    0.00053594    0.06685259       8819061    0.02311752   -0.00001219    0.06618016
         100         97958    0.02360515   -0.00023268    0.06687221       9799206    0.02312369   -0.00003932    0.06616894
