# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97986    0.02079737   -0.00009767   -0.04002786        979698    0.02101046    0.00019088   -0.03901076
          20         97972    0.02118079   -0.00020899   -0.03848037       1959406    0.02097602   -0.00000657   -0.03909184
          30         97990    0.02079212   -0.00036411   -0.03911330       2939092    0.02101936    0.00001069   -0.03926114
          40         98037    0.02095264    0.00021676   -0.03939517       3919154    0.02097080   -0.00000991   -0.03937099
          50         97997    0.02065949    0.00052132   -0.03860237       4899084    0.02096360   -0.00000133   -0.03931133
          60         98064    0.02064741   -0.00083898   -0.03917079       5878984    0.02097286   -0.00002635   -0.03932921
          70         98010    0.02047719   -0.00023320   -0.03827890       6858699    0.02094858    0.00001188   -0.03931801
          80         98024    0.02091092    0.00080002   -0.03850804       7838876    0.02095758    0.00003080   -0.03931834
          90         97977    0.02095594   -0.00023930   -0.03928070       8818718    0.02094827    0.00000759   -0.03933658
         100         97951    0.02103118    0.00015079   -0.03942274       9798413    0.02095471   -0.00000303   -0.03934529
