# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98000    0.02352303    0.00011144    0.06709193        979675    0.02313069    0.00015357    0.06598455
          20         97968    0.02330094    0.00081786    0.06597146       1959571    0.02314276    0.00020380    0.06601244
          30         97994    0.02313585    0.00031172    0.06575896       2939442    0.02312596    0.00012998    0.06604241
          40         97863    0.02272840    0.00121398    0.06601126       3919422    0.02314767    0.00009018    0.06619347
          50         97981    0.02389989   -0.00017867    0.06706110       4899378    0.02315062    0.00007086    0.06625168
          60         97985    0.02327414    0.00029544    0.06605237       5879178    0.02312389    0.00002912    0.06623613
          70         97909    0.02323726   -0.00001293    0.06624033       6858817    0.02312538    0.00002473    0.06623128
          80         98071    0.02303147   -0.00081119    0.06610979       7838753    0.02312415    0.00001712    0.06623795
          90         97977    0.02323872   -0.00048530    0.06628054       8818716    0.02312797    0.00003705    0.06625486
         100         97915    0.02307897   -0.00014213    0.06512972       9798258    0.02313644    0.00006418    0.06624120
