# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97952    0.02853594    0.00008139    0.10765311        979814    0.02861320   -0.00010074    0.10767861
          20         97927    0.02827886    0.00044668    0.10665500       1959723    0.02855651    0.00015217    0.10757487
          30         97994    0.02876846    0.00105561    0.10773349       2939760    0.02861071    0.00011114    0.10773998
          40         98083    0.02860570    0.00055394    0.10803174       3919496    0.02857445    0.00015098    0.10765491
          50         98004    0.02851095    0.00039227    0.10963059       4899740    0.02858435    0.00018438    0.10769488
          60         97993    0.02831192   -0.00067019    0.10735194       5879726    0.02858447    0.00012390    0.10766151
          70         97977    0.02888702   -0.00112743    0.10804251       6859463    0.02857967    0.00009097    0.10768545
          80         97963    0.02917223    0.00058039    0.10730313       7839248    0.02859650    0.00008665    0.10770525
          90         97936    0.02832383    0.00045742    0.10710900       8819020    0.02860636    0.00007372    0.10769218
         100         98024    0.02860037    0.00111005    0.10738015       9798707    0.02860905    0.00007220    0.10770761
