# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97952    0.02295756   -0.00063683    0.06564355        980010    0.02335300   -0.00014837    0.06662435
          20         97986    0.02291068   -0.00145887    0.06683075       1959925    0.02325024   -0.00014471    0.06631369
          30         97965    0.02326858    0.00025464    0.06619400       2939990    0.02322656   -0.00008973    0.06629912
          40         97954    0.02297068    0.00009164    0.06603275       3920010    0.02315374   -0.00016232    0.06629368
          50         98126    0.02368759   -0.00008883    0.06614067       4900129    0.02317358   -0.00011032    0.06624283
          60         97965    0.02314080    0.00040026    0.06716340       5880015    0.02317787   -0.00010229    0.06631456
          70         97949    0.02305582    0.00081405    0.06648022       6859975    0.02314126   -0.00003432    0.06631064
          80         97976    0.02297315    0.00080646    0.06686071       7839975    0.02313818   -0.00000239    0.06631488
          90         98016    0.02280829   -0.00098159    0.06566372       8820112    0.02313957   -0.00004395    0.06630303
         100         98027    0.02335700   -0.00006165    0.06614079       9800112    0.02314635   -0.00004346    0.06628630
