# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         67300    0.10429163   -0.00145136   -0.35765696        672043    0.10447273    0.00049750   -0.35813566
          20         67323    0.10473515    0.00143737   -0.35807171       1345428    0.10448374    0.00030841   -0.35820964
          30         67253    0.10519286    0.00009820   -0.36141788       2018736    0.10451155    0.00010748   -0.35853317
          40         67544    0.10520564   -0.00058170   -0.35957482       2692681    0.10459418    0.00005273   -0.35888827
          50         67385    0.10466953   -0.00238137   -0.36045549       3366309    0.10462830   -0.00005327   -0.35911763
          60         67323    0.10356693   -0.00086772   -0.35499265       4039760    0.10462657   -0.00007044   -0.35914748
          70         67320    0.10490136    0.00094895   -0.35979878       4713582    0.10466076   -0.00000302   -0.35922212
          80         67548    0.10561012    0.00087188   -0.36350402       5386658    0.10466174   -0.00004853   -0.35923699
          90         67073    0.10354138    0.00072480   -0.35477646       6059335    0.10464868   -0.00004747   -0.35915875
         100         67267    0.10429815   -0.00177845   -0.35848351       6733124    0.10464494   -0.00004504   -0.35914895
