  0.845938E-03  0.468993E-02 -0.262617E-02  0.181132E+01  0.172376E+01 -0.485426E+00  0.271818E+00
  0.298554E-02  0.284039E-02  0.935482E-02  0.137580E+01  0.114109E+01 -0.223304E+00 -0.735450E+00
  0.762102E-03 -0.189788E-03  0.510458E-02  0.182960E+01  0.174992E+01  0.198421E-01 -0.533676E+00
  0.237562E-02 -0.555930E-02  0.682622E-02  0.149386E+01  0.129107E+01  0.474560E+00 -0.582709E+00
  0.139473E-01  0.151490E-01 -0.800845E-02  0.824264E-01  0.167334E-01 -0.713531E-01  0.377204E-01
  0.299701E-02 -0.878398E-02 -0.433071E-02  0.137363E+01  0.113838E+01  0.689481E+00  0.339931E+00
  0.157338E-02  0.229407E-04 -0.725204E-02  0.165654E+01  0.150760E+01 -0.217155E-02  0.686473E+00
  0.110839E-01 -0.155402E-01 -0.485653E-02  0.268838E+00  0.985644E-01  0.238731E+00  0.746067E-01
  0.313161E-02  0.833366E-02 -0.550905E-02  0.134825E+01  0.110698E+01 -0.642048E+00  0.424432E+00
  0.153697E-02  0.609362E-02  0.378148E-02  0.166412E+01  0.151796E+01 -0.579458E+00 -0.359590E+00
  0.175154E-02 -0.490439E-03 -0.761547E-02  0.161968E+01  0.145757E+01  0.453917E-01  0.704837E+00
  0.360625E-02  0.150035E-03 -0.106391E-01  0.126065E+01  0.100086E+01 -0.108081E-01  0.766410E+00
  0.431420E-02  0.128052E-02  0.114344E-01  0.113545E+01  0.855531E+00 -0.830834E-01 -0.741893E+00
  0.224769E-02  0.258491E-02  0.818141E-02  0.151923E+01  0.132410E+01 -0.224405E+00 -0.710256E+00
  0.771496E-02  0.659421E-03 -0.144937E-01  0.625286E+00  0.349626E+00 -0.235615E-01  0.517870E+00
  0.111070E-03 -0.176718E-02 -0.867291E-03  0.197469E+01  0.196216E+01  0.199407E+00  0.978648E-01
  0.142084E-01 -0.167895E-01 -0.367822E-02  0.707581E-01  0.133091E-01  0.678852E-01  0.148722E-01
  0.128339E-01  0.287837E-02 -0.166190E-01  0.142190E+00  0.379129E-01 -0.233871E-01  0.135032E+00
  0.304455E-03  0.195359E-02  0.259745E-02  0.193102E+01  0.189742E+01 -0.215566E+00 -0.286612E+00
  0.673797E-02  0.127041E-01  0.538845E-02  0.756383E+00  0.465155E+00 -0.549094E+00 -0.232899E+00
  0.118873E-01 -0.873456E-03 -0.165525E-01  0.205729E+00  0.659826E-01  0.102683E-01  0.194590E+00
  0.421595E-02  0.522218E-02  0.101249E-01  0.115243E+01  0.874796E+00 -0.343897E+00 -0.666755E+00
  0.141984E-01 -0.152599E-01  0.790469E-02  0.711870E-01  0.134303E-01  0.620748E-01 -0.321549E-01
  0.681892E-02 -0.102887E-01 -0.929011E-02  0.745048E+00  0.454739E+00  0.438035E+00  0.395519E+00
