# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98046    0.02310329   -0.00059880    0.06590371        979873    0.02313105   -0.00007879    0.06616956
          20         97961    0.02298370    0.00073246    0.06544219       1959713    0.02310027    0.00012308    0.06616636
          30         97991    0.02340242   -0.00004836    0.06634688       2939705    0.02317147    0.00018491    0.06616459
          40         97959    0.02308608    0.00035407    0.06636128       3919464    0.02315897    0.00020279    0.06620565
          50         97961    0.02348493    0.00026531    0.06651273       4899219    0.02316847    0.00016807    0.06620031
          60         98020    0.02342450    0.00008745    0.06641276       5879192    0.02319461    0.00011752    0.06623050
          70         97974    0.02333574   -0.00001211    0.06635813       6858979    0.02317321    0.00010892    0.06626094
          80         98016    0.02327669   -0.00025865    0.06551647       7838928    0.02317101    0.00006511    0.06625377
          90         97982    0.02250764    0.00103005    0.06671635       8818591    0.02317529    0.00005720    0.06628101
         100         97953    0.02295011   -0.00016034    0.06540436       9798313    0.02316388    0.00004263    0.06625957
