# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         68061    0.09718159   -0.00051229    0.33804983        680908    0.09720455   -0.00055183    0.34002928
          20         68417    0.09791364   -0.00273823    0.34146935       1363554    0.09727623   -0.00056243    0.34053294
          30         68201    0.09755757   -0.00046418    0.34066064       2046579    0.09731661   -0.00034664    0.34081368
          40         68168    0.09685755    0.00010337    0.33749962       2728682    0.09733741   -0.00020495    0.34085152
          50         67967    0.09770668    0.00113429    0.34279615       3410712    0.09725884   -0.00018277    0.34050896
          60         68360    0.09776098    0.00050317    0.34243151       4091965    0.09725862   -0.00015904    0.34043787
          70         68303    0.09771178    0.00121926    0.34322042       4774375    0.09729582   -0.00005250    0.34055573
          80         68267    0.09847845   -0.00019998    0.34611152       5456383    0.09728957   -0.00009809    0.34048089
          90         68418    0.09727280    0.00065465    0.33993451       6138554    0.09727193   -0.00007732    0.34046730
         100         68005    0.09727248    0.00067818    0.34039362       6820862    0.09729650   -0.00004242    0.34048517
