  0.214218E-02  0.248707E-02  0.801262E-02  0.155149E+01  0.136650E+01 -0.220495E+00 -0.700849E+00
  0.756530E-02 -0.922129E-02 -0.110688E-01  0.634541E+00  0.357417E+00  0.334360E+00  0.403856E+00
  0.256661E-03  0.258047E-02 -0.150281E-02  0.193931E+01  0.190966E+01 -0.285962E+00  0.179874E+00
  0.290099E-02  0.942483E-02  0.207158E-02  0.139457E+01  0.116451E+01 -0.751061E+00 -0.156957E+00
  0.585557E-02  0.365536E-02  0.125418E-01  0.898827E+00  0.602558E+00 -0.187745E+00 -0.639973E+00
  0.815911E-03 -0.235059E-02 -0.472926E-02  0.181058E+01  0.172270E+01  0.243196E+00  0.501336E+00
  0.793410E-02  0.815325E-02 -0.121765E-01  0.586991E+00  0.318003E+00 -0.273479E+00  0.410659E+00
  0.304028E-02  0.802670E-02  0.572176E-02  0.137293E+01  0.113752E+01 -0.629720E+00 -0.440960E+00
  0.925800E-02  0.594888E-02  0.142454E-01  0.454377E+00  0.216576E+00 -0.154459E+00 -0.368369E+00
  0.131294E-01  0.165446E-01 -0.366384E-02  0.123285E+00  0.306091E-01 -0.116555E+00  0.260256E-01
  0.107295E-01  0.104178E-02  0.161036E-01  0.309373E+00  0.121677E+00 -0.184170E-01 -0.283843E+00
  0.184694E-02 -0.286944E-02 -0.727998E-02  0.158967E+01  0.141724E+01  0.260655E+00  0.671210E+00
  0.100148E-04  0.151781E-03 -0.572171E-03  0.199670E+01  0.199505E+01 -0.173178E-01  0.792130E-01
  0.997036E-02 -0.146042E-01  0.602263E-02  0.374385E+00  0.161980E+00  0.312433E+00 -0.127717E+00
  0.106890E-02  0.350945E-02  0.489414E-02  0.177040E+01  0.166568E+01 -0.355035E+00 -0.483502E+00
  0.743016E-02 -0.256236E-02 -0.140813E-01  0.649317E+00  0.369973E+00  0.950735E-01  0.525065E+00
  0.262573E-02 -0.283323E-03  0.921552E-02  0.145731E+01  0.124398E+01  0.235937E-01 -0.758757E+00
  0.838511E-06 -0.155890E-03 -0.710311E-04  0.199960E+01  0.199940E+01  0.178124E-01  0.220751E-01
  0.283580E-04 -0.622129E-03 -0.777614E-03  0.199219E+01  0.198829E+01  0.708227E-01  0.102406E+00
  0.305819E-02 -0.687968E-02  0.709605E-02  0.137136E+01  0.113556E+01  0.539114E+00 -0.548156E+00
  0.115233E-01  0.139036E-01 -0.878738E-02  0.228507E+00  0.772386E-01 -0.181547E+00  0.115284E+00
  0.795279E-02  0.719723E-02  0.127789E-01  0.606407E+00  0.333912E+00 -0.249397E+00 -0.440492E+00
  0.545777E-02 -0.125891E-01  0.165831E-02  0.948814E+00  0.653517E+00  0.682554E+00 -0.853497E-01
  0.109150E-01  0.146777E-01 -0.688854E-02  0.279050E+00  0.104234E+00 -0.234047E+00  0.110573E+00
  0.142440E-01 -0.170966E-01 -0.183111E-02  0.686895E-01  0.127298E-01  0.671063E-01  0.727635E-02
  0.151706E-01 -0.155029E-01 -0.777709E-02  0.338024E-01  0.439447E-02  0.299449E-01  0.150530E-01
  0.115635E-02  0.610241E-02  0.137685E-02  0.174639E+01  0.163191E+01 -0.608982E+00 -0.126011E+00
  0.375099E-02  0.638686E-02 -0.874202E-02  0.122352E+01  0.956978E+00 -0.446540E+00  0.617898E+00
  0.368820E-02  0.347217E-02 -0.101700E-01  0.123298E+01  0.968100E+00 -0.244636E+00  0.723312E+00
  0.146564E-01  0.169853E-01  0.310873E-02  0.536131E-01  0.877792E-02 -0.520362E-01 -0.946287E-02
  0.692279E-02 -0.137894E-01  0.205579E-02  0.732577E+00  0.443368E+00  0.577243E+00 -0.829652E-01
  0.980050E-02  0.139220E-01  0.729011E-02  0.392266E+00  0.173722E+00 -0.312064E+00 -0.162200E+00
