# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98002    0.02301307   -0.00008262    0.06660709        979760    0.02307244    0.00022516    0.06604605
          20         98065    0.02288683   -0.00030665    0.06550412       1959821    0.02305796    0.00020443    0.06599255
          30         97932    0.02270353    0.00080940    0.06607157       2939512    0.02307561    0.00012426    0.06607810
          40         98002    0.02298232    0.00011115    0.06614596       3919362    0.02311621    0.00004386    0.06611150
          50         97963    0.02295852   -0.00034459    0.06665101       4899060    0.02312510    0.00006098    0.06619602
          60         97995    0.02324591    0.00042196    0.06612411       5879050    0.02312402    0.00010039    0.06623320
          70         98035    0.02336669   -0.00065259    0.06707057       6859035    0.02312565    0.00008541    0.06624339
          80         97995    0.02335475    0.00132840    0.06642033       7838749    0.02313428    0.00007844    0.06623752
          90         98045    0.02340539   -0.00137068    0.06557753       8818527    0.02314385    0.00003423    0.06624300
         100         97892    0.02310171    0.00113846    0.06589446       9798412    0.02314339    0.00003280    0.06626298
