# Name            mach          Mach    Gamma   Alpha   Beta    CD           CL,y         CL,z         L/D          CA           CN,y         CN,z         Cm,x cg      Cm,y cg      Cm,z cg      Cm,x O       Cm,y O       Cm,z O       Cm_q cg      CP_x         CP_y   
input25     10.12          10.12     1.40     0.00     0.00   0.01812825   0.00032193   0.00064298   0.03546843   0.01812825   0.00032193   0.00064298  -0.00000000  -0.00009312   0.00010228  -0.00000000  -0.00050229   0.00030714  -0.11947284   0.78717371  -0.12929177
input26     10.50          10.50     1.40     0.00     0.00   0.01801274   0.00032811   0.00004300   0.00238702   0.01801274   0.00032811   0.00004300  -0.00000000  -0.00005774  -0.00003690  -0.00000000  -0.00008510   0.00017190  -0.11855184   1.70356374  -0.00939357
input27     10.88          10.88     1.40     0.00     0.00   0.01801989   0.00073975  -0.00032269  -0.01790716   0.01801989   0.00073975  -0.00032269   0.00000000   0.00007017   0.00003654   0.00000000   0.00027552   0.00050729  -0.11918336  -0.08361137  -0.75581186
input28     11.26          11.26     1.40     0.00     0.00   0.01814568  -0.00092590   0.00007556   0.00416426   0.01814568  -0.00092590   0.00007556   0.00000000  -0.00010145  -0.00014212   0.00000000  -0.00014954  -0.00073133  -0.11795773   1.74155643   0.04752492
input29     11.64          11.64     1.40     0.00     0.00   0.01796658   0.00030578   0.00009892   0.00550588   0.01796658   0.00030578   0.00009892  -0.00000000  -0.00001145   0.00004752  -0.00000000  -0.00007440   0.00024211  -0.11818846   1.93589781  -0.00179901
input30     12.02          12.02     1.40     0.00     0.00   0.01823496  -0.00045708   0.00039184   0.02148860   0.01823496  -0.00045708   0.00039184   0.00000000   0.00014503  -0.00011271   0.00000000  -0.00010433  -0.00040358  -0.11955961   1.33900482  -0.07509330
input31     12.40          12.40     1.40     0.00     0.00   0.01810532   0.00009649  -0.00034023  -0.01879174   0.01810532   0.00009649  -0.00034023   0.00000000   0.00000372  -0.00001650   0.00000000   0.00022023   0.00004490  -0.11746159   3.25219383   0.12369536
input32     12.78          12.78     1.40     0.00     0.00   0.01807512  -0.00041050  -0.00004660  -0.00257805   0.01807512  -0.00041050  -0.00004660   0.00000000   0.00001496   0.00007077   0.00000000   0.00004461  -0.00019045  -0.11801586   1.97668158  -0.07156666
input33     13.16          13.16     1.40     0.00     0.00   0.01825612   0.00014992  -0.00056158  -0.03076126   0.01825612   0.00014992  -0.00056158   0.00000000   0.00000162  -0.00018140   0.00000000   0.00035899  -0.00008600  -0.11830068   3.20113081  -0.01212726
input34     13.54          13.54     1.40     0.00     0.00   0.01798848   0.00030080   0.00003686   0.00204911   0.01798848   0.00030080   0.00003686  -0.00000000   0.00002734   0.00006568  -0.00000000   0.00000388   0.00025710  -0.11843081   1.46026682   0.04103133
input35     13.92          13.92     1.40     0.00     0.00   0.01811002  -0.00006612   0.00020811   0.01149154   0.01811002  -0.00006612   0.00020811   0.00000000   0.00013747   0.00004046   0.00000000   0.00000504  -0.00000162  -0.11897904   1.84955301   0.29909981
input36     14.30          14.30     1.40     0.00     0.00   0.01808572  -0.00000353   0.00029639   0.01638783   0.01808572  -0.00000353   0.00029639   0.00000000  -0.00004128  -0.00014790   0.00000000  -0.00022988  -0.00015015  -0.11805757   0.00835275   0.05989932
input37     14.68          14.68     1.40     0.00     0.00   0.01807165  -0.00011804  -0.00046845  -0.02592196   0.01807165  -0.00011804  -0.00046845  -0.00000000   0.00007700  -0.00010085  -0.00000000   0.00037511  -0.00017596  -0.11809817   2.99867561  -0.43504953
input38     15.06          15.06     1.40     0.00     0.00   0.01809288   0.00040186   0.00042495   0.02348725   0.01809288   0.00040186   0.00042495   0.00000000  -0.00033220   0.00008534   0.00000000  -0.00060262   0.00034107  -0.11873487   2.58463095   0.24431687
input39     15.44          15.44     1.40     0.00     0.00   0.01808253  -0.00026715   0.00050209   0.02776645   0.01808253  -0.00026715   0.00050209  -0.00000000   0.00017700  -0.00006838  -0.00000000  -0.00014251  -0.00023839  -0.11891499   1.98251352   0.14526862
input40     15.82          15.82     1.40     0.00     0.00   0.01800904   0.00012626   0.00009459   0.00525212   0.01800904   0.00012626   0.00009459  -0.00000000  -0.00011934   0.00003108  -0.00000000  -0.00017953   0.00011143  -0.11843874   0.54927382  -0.31911986
input41     16.20          16.20     1.40     0.00     0.00   0.01796498   0.00033793  -0.00104227  -0.05801654   0.01796498   0.00033793  -0.00104227   0.00000000   0.00018481   0.00019746   0.00000000   0.00084807   0.00041250  -0.11888741   2.10615500  -0.03651467
input42     16.58          16.58     1.40     0.00     0.00   0.01799200  -0.00030835   0.00036373   0.02021595   0.01799200  -0.00030835   0.00036373  -0.00000000  -0.00007617  -0.00017475  -0.00000000  -0.00030763  -0.00037098  -0.11901358   0.32478093   0.26159578
input43     16.96          16.96     1.40     0.00     0.00   0.01819366   0.00035641   0.00081254   0.04466034   0.01819366   0.00035641   0.00081254   0.00000000  -0.00001431  -0.00023125   0.00000000  -0.00053138  -0.00000444  -0.11862455  -0.18646033  -0.03554877
input44     17.34          17.34     1.40     0.00     0.00   0.01808359   0.00046063  -0.00071514  -0.03954638   0.01808359   0.00046063  -0.00071514  -0.00000000   0.00012268   0.00021699  -0.00000000   0.00057777   0.00051012  -0.11928692   0.77901209  -0.21268501
input45     17.72          17.72     1.40     0.00     0.00   0.01802468   0.00090726  -0.00020807  -0.01154363   0.01802468   0.00090726  -0.00020807   0.00000000   0.00032663  -0.00000034   0.00000000   0.00045903   0.00057701  -0.11879171   1.49640724   0.08114110
input46     18.10          18.10     1.40     0.00     0.00   0.01809068   0.00001906   0.00004159   0.00229922   0.01809068   0.00001906   0.00004159   0.00000000  -0.00014713   0.00000477   0.00000000  -0.00017360   0.00001689  -0.11797315  -1.25691110  -0.17946056
input47     18.48          18.48     1.40     0.00     0.00   0.01802407   0.00023337  -0.00000054  -0.00003020   0.01802407   0.00023337  -0.00000054   0.00000000   0.00003263   0.00010216   0.00000000   0.00003297   0.00025067  -0.11803389   1.60825221   0.02343377
input48     18.86          18.86     1.40     0.00     0.00   0.01815448  -0.00001804  -0.00022302  -0.01228448   0.01815448  -0.00001804  -0.00022302   0.00000000   0.00014162  -0.00001359   0.00000000   0.00028354  -0.00002507  -0.11841741   1.31822358  -0.05721837
input49     19.24          19.24     1.40     0.00     0.00   0.01815099  -0.00026416   0.00000551   0.00030369   0.01815099  -0.00026416   0.00000551   0.00000000  -0.00004890   0.00015505   0.00000000  -0.00005241  -0.00001305  -0.11745875   1.14728960   0.23252917
input50     19.62          19.62     1.40     0.00     0.00   0.01814245   0.00035424   0.00022899   0.01262177   0.01814245   0.00035424   0.00022899  -0.00000000  -0.00016927  -0.00023227  -0.00000000  -0.00031499  -0.00000685  -0.11813817   2.56622068   0.17685515
