# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97951    0.02611599    0.00085546   -0.09403501        979887    0.02639611    0.00032754   -0.09380697
          20         97987    0.02650790   -0.00035797   -0.09328785       1959657    0.02648835    0.00022186   -0.09389274
          30         97974    0.02618147    0.00001006   -0.09315032       2939509    0.02649001    0.00012833   -0.09383183
          40         97993    0.02668899   -0.00019123   -0.09385703       3919553    0.02649286    0.00007890   -0.09385597
          50         97932    0.02668306    0.00027997   -0.09460359       4899361    0.02647636    0.00008111   -0.09386549
          60         98034    0.02669745    0.00023530   -0.09429811       5879142    0.02647612    0.00012029   -0.09379740
          70         98040    0.02649474   -0.00108568   -0.09411287       6858825    0.02647419    0.00005763   -0.09375414
          80         97934    0.02646288    0.00009831   -0.09462082       7838734    0.02648866    0.00006915   -0.09377875
          90         97993    0.02662318   -0.00041646   -0.09300718       8818543    0.02649846    0.00004640   -0.09374128
         100         98030    0.02667729    0.00044089   -0.09485850       9798450    0.02648341    0.00005833   -0.09377208
