# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97972    0.02338804    0.00092583    0.06765022        979970    0.02315537    0.00027719    0.06653306
          20         97917    0.02298791    0.00018566    0.06686733       1959892    0.02311759    0.00012044    0.06649448
          30         98012    0.02316468    0.00053183    0.06603210       2939816    0.02313978    0.00008436    0.06637367
          40         98036    0.02359857   -0.00069323    0.06728779       3920110    0.02314666    0.00002323    0.06636558
          50         98019    0.02259196    0.00054699    0.06617277       4900039    0.02311722    0.00004024    0.06625208
          60         98000    0.02350629    0.00077388    0.06605598       5879904    0.02314225    0.00003888    0.06625127
          70         98000    0.02349833   -0.00018852    0.06504604       6859932    0.02313720    0.00003563    0.06621895
          80         97918    0.02289380    0.00045831    0.06551559       7839724    0.02312388    0.00004447    0.06622791
          90         97989    0.02306654    0.00100670    0.06569327       8819598    0.02311974    0.00003050    0.06623561
         100         97946    0.02273252   -0.00034829    0.06691592       9799354    0.02310878    0.00000746    0.06622022
