# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97948    0.02281407   -0.00060562    0.06596592        979549    0.02308059   -0.00033892    0.06595685
          20         97897    0.02293724   -0.00036268    0.06682942       1959462    0.02307265   -0.00018738    0.06603069
          30         97936    0.02291234    0.00039609    0.06571770       2939214    0.02304480   -0.00006914    0.06610754
          40         97949    0.02355226    0.00022088    0.06704604       3919067    0.02304103   -0.00007115    0.06613069
          50         97996    0.02300572    0.00034040    0.06681757       4899141    0.02305091   -0.00001695    0.06620949
          60         97942    0.02319148    0.00100379    0.06590096       5879268    0.02307305    0.00000232    0.06618262
          70         98001    0.02349494   -0.00112653    0.06627782       6859119    0.02308592   -0.00001810    0.06620438
          80         98000    0.02242494    0.00020349    0.06676741       7838850    0.02307622   -0.00002140    0.06620673
          90         97986    0.02319694    0.00011787    0.06623052       8818692    0.02306639   -0.00002593    0.06620834
         100         97995    0.02278563    0.00063437    0.06670141       9798581    0.02306922   -0.00001963    0.06621080
