  0.464708E-02  0.892790E-02 -0.783230E-02  0.107884E+01  0.792358E+00 -0.550388E+00  0.482846E+00
  0.137163E-01 -0.517352E-02 -0.162840E-01  0.934934E-01  0.202142E-01  0.276394E-01  0.869969E-01
  0.126044E-01  0.424041E-02 -0.162574E-01  0.156518E+00  0.437858E-01 -0.379259E-01  0.145404E+00
  0.127358E-01  0.139739E-01 -0.939589E-02  0.148229E+00  0.403538E-01 -0.118362E+00  0.795852E-01
  0.572054E-02 -0.150534E-02  0.128541E-01  0.906160E+00  0.609947E+00  0.779471E-01 -0.665593E+00
  0.158986E-02 -0.485979E-02 -0.543139E-02  0.165311E+01  0.150293E+01  0.459072E+00  0.513068E+00
  0.364653E-04 -0.189250E-03  0.111317E-02  0.199167E+01  0.198752E+01  0.215385E-01 -0.126689E+00
  0.221144E-02  0.799238E-03  0.847768E-02  0.152647E+01  0.133357E+01 -0.697148E-01 -0.739480E+00
  0.321850E-02 -0.379982E-02  0.937283E-02  0.133199E+01  0.108702E+01  0.289219E+00 -0.713402E+00
  0.932397E-05  0.418668E-04  0.569648E-03  0.199787E+01  0.199680E+01 -0.477968E-02 -0.650333E-01
  0.157761E-01  0.890543E-02 -0.149657E-01  0.194082E-01  0.191188E-02 -0.987646E-02  0.165975E-01
  0.201698E-02  0.203990E-02  0.789715E-02  0.156554E+01  0.138511E+01 -0.182489E+00 -0.706476E+00
  0.267096E-03 -0.128738E-02 -0.276037E-02  0.193942E+01  0.190981E+01  0.142672E+00  0.305915E+00
  0.678503E-06 -0.132386E-03 -0.788744E-04  0.199984E+01  0.199977E+01  0.151286E-01  0.901351E-02
  0.903490E-03 -0.504726E-02  0.230890E-02  0.179882E+01  0.170595E+01  0.518806E+00 -0.237331E+00
  0.359256E-02  0.996554E-02 -0.367708E-02  0.126313E+01  0.100382E+01 -0.719302E+00  0.265408E+00
  0.122400E-01 -0.116091E-01  0.119921E-01  0.180687E+00  0.543093E-01  0.119863E+00 -0.123818E+00
  0.770112E-02  0.610068E-02 -0.131535E-01  0.627057E+00  0.351112E+00 -0.218599E+00  0.471313E+00
  0.526209E-02  0.701613E-02 -0.103565E-01  0.978067E+00  0.683971E+00 -0.392128E+00  0.578821E+00
  0.836724E-02  0.574333E-02 -0.137789E-01  0.544701E+00  0.284264E+00 -0.178765E+00  0.428877E+00
  0.631917E-02 -0.104376E-01 -0.850263E-02  0.816399E+00  0.521601E+00  0.486930E+00  0.396659E+00
  0.120797E-01 -0.162261E-01  0.368552E-02  0.191867E+00  0.594271E-01  0.177900E+00 -0.404073E-01
  0.868290E-02 -0.698563E-02  0.134056E-01  0.507698E+00  0.255796E+00  0.202662E+00 -0.388914E+00
  0.975998E-03  0.496662E-02  0.292233E-02  0.178314E+01  0.168369E+01 -0.506066E+00 -0.297766E+00
  0.587381E-03  0.449571E-02  0.437779E-04  0.186799E+01  0.180530E+01 -0.479883E+00 -0.467296E-02
  0.544655E-02 -0.806537E-02  0.979358E-02  0.948804E+00  0.653507E+00  0.437283E+00 -0.530982E+00
  0.673304E-03 -0.340203E-03  0.479547E-02  0.184906E+01  0.177792E+01  0.359460E-01 -0.506693E+00
  0.934964E-02  0.154745E-01  0.600198E-03  0.433818E+00  0.202044E+00 -0.383608E+00 -0.148787E-01
  0.582298E-03  0.429827E-02  0.125149E-02  0.186912E+01  0.180692E+01 -0.459084E+00 -0.133667E+00
  0.696581E-02  0.434846E-02 -0.132805E-01  0.724697E+00  0.436234E+00 -0.180075E+00  0.549962E+00
  0.111473E-01  0.950522E-02  0.132493E-01  0.263552E+00  0.956716E-01 -0.143149E+00 -0.199536E+00
  0.258155E-02  0.877948E-02  0.257112E-02  0.145345E+01  0.123904E+01 -0.729175E+00 -0.213543E+00
  0.105967E-01 -0.133763E-01  0.892568E-02  0.311221E+00  0.122769E+00  0.237885E+00 -0.158735E+00
  0.112027E-02  0.823393E-03  0.610543E-02  0.175214E+01  0.163997E+01 -0.824398E-01 -0.611288E+00
  0.467028E-02 -0.549352E-02  0.105579E-01  0.107495E+01  0.788074E+00  0.337443E+00 -0.648527E+00
  0.803293E-02 -0.121684E-01 -0.827976E-02  0.585309E+00  0.316638E+00  0.406987E+00  0.276927E+00
  0.644868E-02  0.497783E-03  0.135599E-01  0.797594E+00  0.503684E+00 -0.226874E-01 -0.618017E+00
  0.372667E-02 -0.917227E-02  0.569341E-02  0.123889E+01  0.975063E+00  0.649337E+00 -0.403057E+00
  0.151585E-02  0.239784E-02 -0.670876E-02  0.166853E+01  0.152400E+01 -0.228620E+00  0.639642E+00
  0.260904E-06  0.817703E-04 -0.494488E-04  0.199994E+01  0.199991E+01 -0.934489E-02  0.565112E-02
  0.136797E-01  0.788513E-02 -0.151486E-01  0.953140E-01  0.208075E-01 -0.429465E-01  0.825070E-01
  0.654330E-03 -0.474060E-02  0.121757E-04  0.185323E+01  0.178394E+01  0.502025E+00 -0.128939E-02
  0.812014E-03 -0.120867E-02 -0.512838E-02  0.181870E+01  0.173431E+01  0.125612E+00  0.532971E+00
  0.156110E-01 -0.141085E-01 -0.101800E-01  0.233042E-01  0.251557E-02  0.187878E-01  0.135564E-01
  0.490560E-02  0.117698E-01 -0.301696E-02  0.103588E+01  0.745502E+00 -0.696693E+00  0.178583E+00
  0.176566E-02  0.538372E-02 -0.544943E-02  0.161678E+01  0.145365E+01 -0.497387E+00  0.503458E+00
  0.155637E-02 -0.640712E-02  0.331654E-02  0.166008E+01  0.151244E+01  0.607790E+00 -0.314612E+00
  0.272004E-08 -0.864737E-05  0.451932E-05  0.200000E+01  0.200000E+01  0.988271E-03 -0.516494E-03
  0.299145E-02  0.977153E-02  0.518845E-03  0.137468E+01  0.113969E+01 -0.767585E+00 -0.407569E-01
  0.336850E-02 -0.356449E-02 -0.968737E-02  0.130416E+01  0.105313E+01  0.265638E+00  0.721935E+00
  0.117778E-02 -0.623752E-02 -0.963570E-03  0.173985E+01  0.162276E+01  0.620135E+00  0.957982E-01
  0.285365E-03  0.188095E-02 -0.252356E-02  0.193531E+01  0.190375E+01 -0.208012E+00  0.279078E+00
  0.147880E-01  0.585099E-02 -0.162684E-01  0.480329E-01  0.744376E-02 -0.160594E-01  0.446524E-01
  0.136704E-03  0.202989E-02  0.803425E-03  0.196888E+01  0.195350E+01 -0.228377E+00 -0.903911E-01
  0.999701E-02 -0.657408E-02 -0.143783E-01  0.367640E+00  0.157623E+00  0.138108E+00  0.302060E+00
  0.128607E-01 -0.151303E-01  0.746998E-02  0.140562E+00  0.372637E-01  0.121528E+00 -0.599996E-01
  0.148130E-01  0.347981E-02  0.169387E-01  0.471499E-01  0.723945E-02 -0.937559E-02 -0.456377E-01
  0.220725E-02  0.556178E-02  0.643804E-02  0.152730E+01  0.133467E+01 -0.485401E+00 -0.561877E+00
  0.748171E-02  0.716819E-02  0.124298E-01  0.655452E+00  0.375229E+00 -0.268480E+00 -0.465552E+00
  0.361977E-02 -0.948566E-02 -0.485916E-02  0.125819E+01  0.997943E+00  0.681988E+00  0.349357E+00
  0.824178E-02 -0.687047E-02  0.131656E-01  0.559770E+00  0.296141E+00  0.219765E+00 -0.421125E+00
  0.247264E-02 -0.794529E-02  0.415943E-02  0.147475E+01  0.126638E+01  0.669562E+00 -0.350521E+00
  0.218456E-02 -0.177496E-02  0.827869E-02  0.153184E+01  0.134062E+01  0.155368E+00 -0.724664E+00
  0.101033E-01 -0.781656E-02  0.138000E-01  0.357301E+00  0.151020E+00  0.159592E+00 -0.281757E+00
  0.113264E-01  0.162479E-01 -0.203521E-02  0.248906E+00  0.878089E-01 -0.231097E+00  0.289472E-01
  0.929822E-02  0.127630E-01  0.872283E-02  0.439309E+00  0.205893E+00 -0.320393E+00 -0.218972E+00
  0.514255E-02 -0.113528E-01  0.496557E-02  0.997268E+00  0.704211E+00  0.646960E+00 -0.282972E+00
  0.172956E-02  0.586996E-02  0.480488E-02  0.162421E+01  0.146368E+01 -0.544802E+00 -0.445950E+00
  0.309561E-02  0.875382E-02 -0.470468E-02  0.135501E+01  0.111532E+01 -0.677803E+00  0.364281E+00
  0.428474E-04 -0.122265E-02 -0.543286E-04  0.199022E+01  0.198535E+01  0.139048E+00  0.617861E-02
  0.364467E-02 -0.192171E-02  0.105160E-01  0.125368E+01  0.992581E+00  0.137669E+00 -0.753358E+00
  0.464273E-02  0.718713E-02  0.944911E-02  0.107957E+01  0.793163E+00 -0.443373E+00 -0.582914E+00
  0.638721E-02 -0.135185E-01 -0.761864E-04  0.806491E+00  0.512135E+00  0.623004E+00  0.351107E-02
  0.124840E-01  0.141423E-01 -0.900470E-02  0.164312E+00  0.470963E-01 -0.132785E+00  0.845472E-01
  0.182379E-02  0.723057E-02 -0.286800E-02  0.160486E+01  0.143760E+01 -0.663086E+00  0.263013E+00
  0.549889E-02 -0.121533E-01  0.381072E-02  0.940583E+00  0.645031E+00  0.653208E+00 -0.204817E+00
  0.512646E-02  0.781852E-02  0.959251E-02  0.999866E+00  0.706965E+00 -0.446713E+00 -0.548070E+00
  0.102777E-01  0.135679E-01  0.836668E-02  0.340649E+00  0.140587E+00 -0.264107E+00 -0.162863E+00
  0.196590E-02  0.106478E-02  0.798799E-02  0.157589E+01  0.139886E+01 -0.958847E-01 -0.719326E+00
  0.146994E-01  0.171743E-01 -0.185694E-02  0.512236E-01  0.819765E-02 -0.502703E-01  0.543538E-02
  0.272505E-02  0.619706E-02  0.703898E-02  0.142563E+01  0.120363E+01 -0.504840E+00 -0.573427E+00
  0.338316E-03 -0.420937E-03  0.339844E-02  0.192342E+01  0.188623E+01  0.462650E-01 -0.373522E+00
  0.309896E-02  0.893694E-02  0.435789E-02  0.135438E+01  0.111454E+01 -0.691659E+00 -0.337272E+00
  0.388316E-03  0.308275E-02  0.198417E-02  0.191223E+01  0.186980E+01 -0.336852E+00 -0.216811E+00
  0.198986E-02  0.418683E-02 -0.693946E-02  0.157103E+01  0.139240E+01 -0.375866E+00  0.622978E+00
  0.461904E-03 -0.324164E-02  0.233346E-02  0.189582E+01  0.184578E+01  0.351174E+00 -0.252789E+00
  0.671556E-04  0.130855E-02  0.796013E-03  0.198468E+01  0.197706E+01 -0.148403E+00 -0.902760E-01
  0.126250E-01  0.113763E-01  0.123720E-01  0.155201E+00  0.432342E-01 -0.100892E+00 -0.109722E+00
  0.149867E-01 -0.165178E-01 -0.520523E-02  0.412533E-01  0.592480E-02  0.389380E-01  0.122705E-01
  0.116460E-01 -0.157867E-01  0.477075E-02  0.223797E+00  0.748628E-01  0.201887E+00 -0.610102E-01
  0.147857E-01  0.169953E-01 -0.316926E-02  0.481124E-01  0.746227E-02 -0.467247E-01  0.871319E-02
  0.601310E-03  0.319771E-02  0.323403E-02  0.186492E+01  0.180084E+01 -0.340770E+00 -0.344640E+00
  0.350973E-02  0.104110E-01  0.146032E-02  0.127822E+01  0.102187E+01 -0.760435E+00 -0.106663E+00
  0.667523E-03 -0.476746E-02  0.434832E-03  0.185033E+01  0.177975E+01  0.504079E+00 -0.459763E-01
  0.157395E-01 -0.154038E-02 -0.173429E-01  0.202414E-01  0.203632E-02  0.178169E-02  0.200598E-01
  0.337367E-02  0.996549E-02  0.271769E-02  0.130320E+01  0.105197E+01 -0.742118E+00 -0.202383E+00
  0.316767E-02 -0.505961E-02  0.867380E-02  0.134149E+01  0.109867E+01  0.387852E+00 -0.664903E+00
  0.797880E-02 -0.600151E-02  0.134007E-01  0.592021E+00  0.322100E+00  0.203030E+00 -0.453342E+00
  0.107034E-01 -0.161254E-01  0.163746E-03  0.301675E+00  0.117164E+00  0.277979E+00 -0.282274E-02
  0.322089E-02 -0.164082E-02  0.998322E-02  0.133155E+01  0.108647E+01  0.124847E+00 -0.759607E+00
  0.770974E+00  0.526402E-01  0.690267E-01  0.167451E-01  0.153220E-02 -0.101116E-01 -0.132592E-01
  0.139847E+01  0.677167E-01 -0.127613E+00  0.167451E-01  0.153220E-02 -0.781609E-02  0.147295E-01
  0.147786E+01  0.670400E-01  0.136152E+00  0.167451E-01  0.153220E-02 -0.736604E-02 -0.149597E-01
  0.217936E+01  0.186896E+00  0.108726E+00  0.167451E-01  0.153220E-02 -0.144133E-01 -0.838492E-02
  0.477136E-01 -0.263954E-03 -0.203483E-01  0.167451E-01  0.153220E-02  0.216285E-03  0.166734E-01
  0.620914E+00  0.470319E-01 -0.558558E-01  0.167451E-01  0.153220E-02 -0.107402E-01  0.127553E-01
  0.192706E+01  0.159959E+00 -0.108059E+00  0.167451E-01  0.153220E-02 -0.138175E-01  0.933426E-02
  0.982440E+00  0.597882E-01 -0.878188E-01  0.167451E-01  0.153220E-02 -0.938409E-02  0.137837E-01
  0.213328E+01 -0.149353E+00  0.150440E+00  0.167451E-01  0.153220E-02  0.117481E-01 -0.118336E-01
  0.211185E+01  0.127165E+00  0.167141E+00  0.167451E-01  0.153220E-02 -0.100966E-01 -0.132706E-01
  0.173100E+01  0.126113E+00  0.121360E+00  0.167451E-01  0.153220E-02 -0.120152E-01 -0.115623E-01
  0.467760E+00 -0.517558E-01  0.282146E-01  0.167451E-01  0.153220E-02  0.146407E-01 -0.798133E-02
