  0.619357E+00 -0.164291E-02 -0.568872E-01  0.167451E-01  0.153220E-02  0.481370E-03  0.166679E-01
  0.115991E+01  0.482709E-01  0.950232E-01  0.167451E-01  0.153220E-02 -0.755211E-02 -0.148666E-01
  0.583004E+00 -0.309045E-01 -0.437575E-01  0.167451E-01  0.153220E-02  0.961961E-02  0.136203E-01
  0.180000E+01  0.918862E-01  0.137525E+00  0.167451E-01  0.153220E-02 -0.926370E-02 -0.138649E-01
  0.206734E+01 -0.577952E-01 -0.180956E+00  0.167451E-01  0.153220E-02  0.507327E-02  0.158843E-01
  0.216467E+01  0.131703E+00 -0.149056E+00  0.167451E-01  0.153220E-02 -0.110410E-01  0.124958E-01
  0.123458E+01 -0.678487E-01  0.909156E-01  0.167451E-01  0.153220E-02  0.997308E-02 -0.133637E-01
  0.630830E+00  0.266602E-01 -0.514703E-01  0.167451E-01  0.153220E-02 -0.766935E-02  0.148065E-01
  0.237956E+01 -0.122291E+00  0.181254E+00  0.167451E-01  0.153220E-02  0.932621E-02 -0.138229E-01
  0.259816E+01  0.131263E+00  0.199413E+00  0.167451E-01  0.153220E-02 -0.916818E-02 -0.139282E-01
  0.544394E+00 -0.497989E-01  0.472831E-02  0.167451E-01  0.153220E-02  0.166002E-01 -0.157616E-02
  0.189306E+00 -0.167701E-01 -0.461983E-02  0.167451E-01  0.153220E-02  0.160760E-01  0.442862E-02
  0.212212E+01  0.126757E+00  0.148174E+00  0.167451E-01  0.153220E-02 -0.108396E-01 -0.126710E-01
  0.204004E+01  0.232861E-01  0.186001E+00  0.167451E-01  0.153220E-02 -0.207141E-02 -0.165457E-01
  0.871720E+00 -0.713913E-01  0.363217E-01  0.167451E-01  0.153220E-02  0.148619E-01 -0.756129E-02
  0.207585E+01 -0.190717E+00 -0.323689E-02  0.167451E-01  0.153220E-02  0.166724E-01  0.282968E-03
  0.107960E+01  0.179066E-01  0.975717E-01  0.167451E-01  0.153220E-02 -0.300994E-02 -0.164009E-01
  0.478673E+00 -0.237925E-02 -0.439195E-01  0.167451E-01  0.153220E-02  0.902003E-03  0.166504E-01
  0.174318E+01  0.668431E-01 -0.145562E+00  0.167451E-01  0.153220E-02 -0.695861E-02  0.151535E-01
  0.295318E+01  0.138488E-01  0.271006E+00  0.167451E-01  0.153220E-02 -0.851002E-03 -0.166531E-01
  0.120811E+01 -0.548632E-01  0.965048E-01  0.167451E-01  0.153220E-02  0.824105E-02 -0.144961E-01
  0.572245E-01 -0.518346E-02  0.883360E-03  0.167451E-01  0.153220E-02  0.164379E-01 -0.280132E-02
  0.141779E+01 -0.303265E-01  0.126698E+00  0.167451E-01  0.153220E-02  0.388165E-02 -0.162168E-01
  0.164386E+01  0.942184E-01 -0.118063E+00  0.167451E-01  0.153220E-02 -0.104011E-01  0.130334E-01
  0.128210E+01  0.117802E+00 -0.121145E-02  0.167451E-01  0.153220E-02 -0.166740E-01  0.171471E-03
  0.266315E+01 -0.199298E+00  0.141997E+00  0.167451E-01  0.153220E-02  0.135804E-01 -0.967586E-02
  0.328296E+00 -0.506095E-02  0.297386E-01  0.167451E-01  0.153220E-02  0.279752E-02 -0.164385E-01
  0.162722E+01 -0.551088E-01 -0.138994E+00  0.167451E-01  0.153220E-02  0.614585E-02  0.155009E-01
  0.891818E+00 -0.775970E-01 -0.263430E-01  0.167451E-01  0.153220E-02  0.157898E-01  0.536039E-02
  0.118936E+01 -0.466557E-01  0.988270E-01  0.167451E-01  0.153220E-02  0.711869E-02 -0.150789E-01
  0.468334E+00 -0.308339E-01 -0.300198E-01  0.167451E-01  0.153220E-02  0.119476E-01  0.116321E-01
