# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97994    0.02332531   -0.00022950    0.06631401        980128    0.02322049    0.00009520    0.06612066
          20         97924    0.02307630   -0.00009983    0.06644722       1959767    0.02310523   -0.00001737    0.06611724
          30         98012    0.02266940   -0.00101712    0.06493559       2939831    0.02308706   -0.00001388    0.06620632
          40         97970    0.02327086    0.00023132    0.06742117       3919828    0.02311405   -0.00002769    0.06625677
          50         97979    0.02316163   -0.00065587    0.06668743       4899709    0.02308322    0.00002121    0.06629464
          60         98062    0.02278695   -0.00042901    0.06639747       5879521    0.02307630    0.00003663    0.06628699
          70         97858    0.02311643   -0.00021630    0.06616843       6859391    0.02310358    0.00006828    0.06623126
          80         97995    0.02269954   -0.00113183    0.06649770       7839172    0.02311203    0.00004293    0.06625197
          90         97942    0.02346582   -0.00014087    0.06640198       8819322    0.02312429    0.00005573    0.06624023
         100         98031    0.02294679    0.00040077    0.06611820       9799279    0.02312753    0.00004327    0.06625882
