# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         66389    0.11205500    0.00122505   -0.37494289        664616    0.11207251   -0.00019081   -0.37697944
          20         66426    0.11306162    0.00035357   -0.37863041       1329495    0.11212546   -0.00003823   -0.37723187
          30         66566    0.11107539   -0.00030139   -0.37349741       1993597    0.11198492   -0.00013279   -0.37672310
          40         66399    0.11161480   -0.00019533   -0.37318687       2658621    0.11210373   -0.00020439   -0.37702188
          50         66755    0.11252099   -0.00147411   -0.37848717       3324246    0.11216038   -0.00013526   -0.37712208
          60         66446    0.11259907   -0.00197194   -0.37780777       3988946    0.11217019   -0.00025666   -0.37717340
          70         66430    0.11231518   -0.00061703   -0.37743204       4654105    0.11217887   -0.00023136   -0.37719515
          80         66580    0.11255075   -0.00181797   -0.38019335       5318707    0.11216250   -0.00023235   -0.37712492
          90         66521    0.11269636   -0.00041981   -0.37704326       5982790    0.11215124   -0.00017147   -0.37705765
         100         66412    0.11124161    0.00059070   -0.37341216       6648031    0.11214098   -0.00014845   -0.37698476
