# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         77170    0.06188114   -0.00022496    0.24114748        771257    0.06109377   -0.00003054    0.23868635
          20         76961    0.06081482   -0.00010834    0.23998042       1541517    0.06110153    0.00012558    0.23924196
          30         77045    0.06012317   -0.00210866    0.23707540       2311944    0.06103933    0.00011247    0.23899715
          40         76947    0.06119913    0.00009618    0.24087003       3083409    0.06108729    0.00005426    0.23913202
          50         77111    0.06114734    0.00029954    0.24104018       3853907    0.06109113    0.00006692    0.23912501
          60         76940    0.06088783   -0.00013357    0.23980847       4623455    0.06108491    0.00002896    0.23913390
          70         76988    0.06070549    0.00089219    0.23828190       5393895    0.06106758    0.00004826    0.23907462
          80         77029    0.06105477    0.00021657    0.23813891       6164259    0.06107699    0.00001943    0.23906741
          90         76866    0.06107577    0.00026041    0.23861983       6934717    0.06107266    0.00004741    0.23908756
         100         77198    0.06119863    0.00082214    0.23939931       7705785    0.06106105    0.00002206    0.23907033
